服务号,实际运行等级,station_pair
50704.0,,三官堂-兴庄路
50706.0,,三官堂-兴庄路
50708.0,,三官堂-兴庄路
50710.0,,三官堂-兴庄路
50712.0,,三官堂-兴庄路
50714.0,,三官堂-兴庄路
50716.0,,三官堂-兴庄路
50703.0,,三官堂-盎孟港
50705.0,,三官堂-盎孟港
50707.0,,三官堂-盎孟港
50709.0,,三官堂-盎孟港
50711.0,,三官堂-盎孟港
50713.0,,三官堂-盎孟港
50715.0,,三官堂-盎孟港
50703.0,,下应路-南高教园区
50705.0,,下应路-南高教园区
50707.0,,下应路-南高教园区
50709.0,,下应路-南高教园区
50711.0,,下应路-南高教园区
50713.0,,下应路-南高教园区
50715.0,,下应路-南高教园区
50704.0,,下应路-大洋江
50706.0,,下应路-大洋江
50708.0,,下应路-大洋江
50710.0,,下应路-大洋江
50712.0,,下应路-大洋江
50714.0,,下应路-大洋江
50716.0,,下应路-大洋江
50703.0,,会展中心-民安东路
50705.0,,会展中心-民安东路
50707.0,,会展中心-民安东路
50709.0,,会展中心-民安东路
50711.0,,会展中心-民安东路
50713.0,,会展中心-民安东路
50715.0,,会展中心-民安东路
50704.0,,会展中心-院士路
50706.0,,会展中心-院士路
50708.0,,会展中心-院士路
50710.0,,会展中心-院士路
50712.0,,会展中心-院士路
50714.0,,会展中心-院士路
50716.0,,会展中心-院士路
50703.0,,兴庄路-三官堂
50705.0,,兴庄路-三官堂
50707.0,,兴庄路-三官堂
50709.0,,兴庄路-三官堂
50711.0,,兴庄路-三官堂
50713.0,,兴庄路-三官堂
50715.0,,兴庄路-三官堂
50704.0,,兴庄路-兴海南路
50706.0,,兴庄路-兴海南路
50708.0,,兴庄路-兴海南路
50710.0,,兴庄路-兴海南路
50712.0,,兴庄路-兴海南路
50714.0,,兴庄路-兴海南路
50716.0,,兴庄路-兴海南路
50703.0,,兴海南路-兴庄路
50705.0,,兴海南路-兴庄路
50707.0,,兴海南路-兴庄路
50709.0,,兴海南路-兴庄路
50711.0,,兴海南路-兴庄路
50713.0,,兴海南路-兴庄路
50715.0,,兴海南路-兴庄路
50704.0,,兴海南路-梅堰
50706.0,,兴海南路-梅堰
50708.0,,兴海南路-梅堰
50710.0,,兴海南路-梅堰
50712.0,,兴海南路-梅堰
50714.0,,兴海南路-梅堰
50716.0,,兴海南路-梅堰
50704.0,,南高教园区-下应路
50706.0,,南高教园区-下应路
50708.0,,南高教园区-下应路
50710.0,,南高教园区-下应路
50712.0,,南高教园区-下应路
50714.0,,南高教园区-下应路
50716.0,,南高教园区-下应路
50703.0,,南高教园区-钱湖南路
50705.0,,南高教园区-钱湖南路
50707.0,,南高教园区-钱湖南路
50709.0,,南高教园区-钱湖南路
50711.0,,南高教园区-钱湖南路
50713.0,,南高教园区-钱湖南路
50715.0,,南高教园区-钱湖南路
50703.0,,同德路-张家潭
50705.0,,同德路-张家潭
50707.0,,同德路-张家潭
50709.0,,同德路-张家潭
50711.0,,同德路-张家潭
50713.0,,同德路-张家潭
50715.0,,同德路-张家潭
50704.0,,同德路-石碶
50706.0,,同德路-石碶
50708.0,,同德路-石碶
50710.0,,同德路-石碶
50712.0,,同德路-石碶
50714.0,,同德路-石碶
50716.0,,同德路-石碶
50703.0,,大洋江-下应路
50705.0,,大洋江-下应路
50707.0,,大洋江-下应路
50709.0,,大洋江-下应路
50711.0,,大洋江-下应路
50713.0,,大洋江-下应路
50715.0,,大洋江-下应路
50704.0,,大洋江-泗港
50706.0,,大洋江-泗港
50708.0,,大洋江-泗港
50710.0,,大洋江-泗港
50712.0,,大洋江-泗港
50714.0,,大洋江-泗港
50716.0,,大洋江-泗港
50704.0,,布政-张家潭
50706.0,,布政-张家潭
50708.0,,布政-张家潭
50710.0,,布政-张家潭
50712.0,,布政-张家潭
50714.0,,布政-张家潭
50716.0,,布政-张家潭
50704.0,,庙堰-钟公庙
50706.0,,庙堰-钟公庙
50708.0,,庙堰-钟公庙
50710.0,,庙堰-钟公庙
50712.0,,庙堰-钟公庙
50714.0,,庙堰-钟公庙
50716.0,,庙堰-钟公庙
50703.0,,庙堰-雅渡
50705.0,,庙堰-雅渡
50707.0,,庙堰-雅渡
50709.0,,庙堰-雅渡
50711.0,,庙堰-雅渡
50713.0,,庙堰-雅渡
50715.0,,庙堰-雅渡
50704.0,,张家潭-同德路
50706.0,,张家潭-同德路
50708.0,,张家潭-同德路
50710.0,,张家潭-同德路
