station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS,全局趟次ID,历史segment,历史来源run_id,趟次选择方式
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24,UP035_20240706_081839_R1868,34,1868,traceability
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.34,UP035_20240706_081839_R1868,34,1869,traceability
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.34,UP035_20240706_081839_R1868,34,1870,traceability
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,216.74,UP035_20240706_081839_R1868,34,1871,traceability
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,217.32,UP035_20240706_081839_R1868,34,1872,traceability
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,217.82,UP035_20240706_081839_R1868,34,1873,traceability
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,217.92,UP035_20240706_081839_R1868,34,1874,traceability
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,217.72,UP035_20240706_081839_R1868,34,1875,traceability
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,217.22,UP035_20240706_081839_R1868,34,1876,traceability
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,216.64,UP035_20240706_081839_R1868,34,1877,traceability
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,216.84,UP035_20240706_081839_R1868,34,1878,traceability
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,216.74,UP035_20240706_081839_R1868,34,1879,traceability
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,216.92,UP035_20240706_081839_R1868,34,1880,traceability
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,217.72,UP035_20240706_081839_R1868,34,1881,traceability
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,218.3,UP035_20240706_081839_R1868,34,1882,traceability
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,218.1,UP035_20240706_081839_R1868,34,1883,traceability
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,217.13,UP035_20240706_081839_R1868,34,1884,traceability
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,216.52,UP035_20240706_081839_R1868,34,1885,traceability
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,215.94,UP035_20240706_081839_R1868,34,1886,traceability
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,215.64,UP035_20240706_081839_R1868,34,1887,traceability
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,215.64,UP035_20240706_081839_R1868,34,1888,traceability
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,215.64,UP035_20240706_081839_R1868,34,1889,traceability
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.64,UP035_20240706_081839_R1868,34,1890,traceability
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.44,UP035_20240706_081839_R1868,27,1891,traceability
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.54,UP035_20240706_081839_R1868,34,1892,traceability
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.34,UP035_20240706_081839_R1868,34,1893,traceability
