站间区间,运行等级,运行时长(s),预测能耗(Wh),峰值速度(kmh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,DP候选阶段
布政-张家潭,class3,115.0,12947.63,67.1428,real,class3,class3,80,80,strong,real_only
布政-张家潭,class4,121.0,14024.22,63.0459,real,class4,class4,25,25,strong,real_only
布政-张家潭,class5,127.0,12627.72,56.8733,extrapolated_adjacent,class4,class4,0,25,generated,allow_extrapolated
张家潭-同德路,class1,141.0,17890.72,73.6007,extrapolated_adjacent,class2,class2,0,8,generated,allow_extrapolated
张家潭-同德路,class2,148.0,17599.22,66.7619,real,class2,class2,8,8,strong,real_only
张家潭-同德路,class3,151.0,17915.88,65.3684,real,class3,class3,54,54,strong,real_only
张家潭-同德路,class4,158.9,16531.83,59.5931,extrapolated_adjacent,class3,class3,0,54,generated,allow_extrapolated
同德路-石碶,class3,109.0,13094.43,69.8832,real,class3,class3,60,60,strong,real_only
同德路-石碶,class4,114.0,13317.96,64.3981,real,class4,class4,9,9,strong,real_only
同德路-石碶,class5,120.0,11776.24,56.6438,extrapolated_adjacent,class4,class4,0,9,generated,allow_extrapolated
石碶-雅渡,class2,80.0,11114.09,64.028,real,class2,class2,38,38,strong,real_only
石碶-雅渡,class3,82.0,11495.07,71.4001,real,class3,class3,63,63,strong,real_only
石碶-雅渡,class4,86.0,11616.04,61.45,real,class4,class4,8,8,strong,real_only
石碶-雅渡,class5,90.0,8890.83,50.8958,extrapolated_adjacent,class4,class4,0,8,generated,allow_extrapolated
雅渡-庙堰,class2,129.0,20536.84,79.0115,real,class2,class2,32,32,strong,real_only
雅渡-庙堰,class3,131.9,19858.37,75.5114,real,class3,class3,67,67,strong,real_only
雅渡-庙堰,class4,139.0,18182.81,69.0026,real,class4,class4,10,10,strong,real_only
雅渡-庙堰,class5,146.0,15975.28,62.5936,extrapolated_adjacent,class4,class4,0,10,generated,allow_extrapolated
庙堰-钟公庙,class3,96.0,12501.13,69.1047,real,class3,class3,84,84,strong,real_only
