segment,区段,列车运行方向,运行等级,曲线质量标签,是否是晚上八点以后的趟次,起始时刻s,结束时刻s,来源文件,运行时长s
0,同德路-张家潭,DOWN,class4,0,0,0.0,157.55,results_同德路-张家潭.xlsx,157.55
1,同德路-张家潭,DOWN,class4,0,0,0.0,155.95,results_同德路-张家潭.xlsx,155.95
2,同德路-张家潭,DOWN,class5,0,0,0.0,163.45,results_同德路-张家潭.xlsx,163.45
3,同德路-张家潭,DOWN,class5,0,0,0.0,164.4,results_同德路-张家潭.xlsx,164.4
4,同德路-张家潭,DOWN,class5,0,0,0.0,163.8,results_同德路-张家潭.xlsx,163.8
5,同德路-张家潭,DOWN,class4,0,0,0.0,155.35,results_同德路-张家潭.xlsx,155.35
6,同德路-张家潭,DOWN,class5,1,1,0.0,163.95,results_同德路-张家潭.xlsx,163.95
7,同德路-张家潭,DOWN,class4,0,0,0.0,157.1,results_同德路-张家潭.xlsx,157.1
8,同德路-张家潭,DOWN,class5,0,0,0.0,164.2,results_同德路-张家潭.xlsx,164.2
9,同德路-张家潭,DOWN,class5,0,0,0.0,165.2,results_同德路-张家潭.xlsx,165.2
10,同德路-张家潭,DOWN,class5,0,0,0.0,165.35,results_同德路-张家潭.xlsx,165.35
11,同德路-张家潭,DOWN,class5,0,0,0.0,163.3,results_同德路-张家潭.xlsx,163.3
12,同德路-张家潭,DOWN,class4,0,0,0.0,155.35,results_同德路-张家潭.xlsx,155.35
13,同德路-张家潭,DOWN,class5,1,1,0.0,164.0,results_同德路-张家潭.xlsx,164.0
14,同德路-张家潭,DOWN,class4,0,0,0.0,155.9,results_同德路-张家潭.xlsx,155.9
15,同德路-张家潭,DOWN,class4,0,0,0.0,156.35,results_同德路-张家潭.xlsx,156.35
16,同德路-张家潭,DOWN,class4,0,0,0.0,155.75,results_同德路-张家潭.xlsx,155.75
17,同德路-张家潭,DOWN,class5,1,1,0.0,164.75,results_同德路-张家潭.xlsx,164.75
18,同德路-张家潭,DOWN,class3,0,0,0.0,154.95,results_同德路-张家潭.xlsx,154.95
19,同德路-张家潭,DOWN,class4,0,0,0.0,155.55,results_同德路-张家潭.xlsx,155.55
20,同德路-张家潭,DOWN,class4,0,0,0.0,155.4,results_同德路-张家潭.xlsx,155.4
21,同德路-张家潭,DOWN,class5,0,0,0.0,164.85,results_同德路-张家潭.xlsx,164.85
22,同德路-张家潭,DOWN,class5,0,0,0.0,164.05,results_同德路-张家潭.xlsx,164.05
23,同德路-张家潭,DOWN,class5,0,0,0.0,164.1,results_同德路-张家潭.xlsx,164.1
24,同德路-张家潭,DOWN,class4,0,0,0.0,157.5,results_同德路-张家潭.xlsx,157.5
25,同德路-张家潭,DOWN,class5,1,1,0.0,164.5,results_同德路-张家潭.xlsx,164.5
26,同德路-张家潭,DOWN,class4,0,0,0.0,162.25,results_同德路-张家潭.xlsx,162.25
27,同德路-张家潭,DOWN,class5,0,0,0.0,163.05,results_同德路-张家潭.xlsx,163.05
28,同德路-张家潭,DOWN,class5,0,0,0.0,163.8,results_同德路-张家潭.xlsx,163.8
29,同德路-张家潭,DOWN,class5,0,0,0.0,164.8,results_同德路-张家潭.xlsx,164.8
30,同德路-张家潭,DOWN,class5,0,0,0.0,163.7,results_同德路-张家潭.xlsx,163.7
31,同德路-张家潭,DOWN,class5,0,0,0.0,164.5,results_同德路-张家潭.xlsx,164.5
32,同德路-张家潭,DOWN,class5,1,1,0.0,163.95,results_同德路-张家潭.xlsx,163.95
