section,run_class,sample_count,duration_median_s,duration_mean_s,energy_median_wh,energy_mean_wh,mass_median_t,mass_mean_t,energy_per_t_median_wh_per_t,energy_per_t_mean_wh_per_t,energy_per_second_median
同德路-张家潭,class3,13,154.35,154.37692307692308,15828.26876679857,15943.856383283663,215.44000000000003,215.58615384615385,73.52976175390144,73.95748352119243,102.78096601817253
同德路-张家潭,class4,31,155.6,156.36612903225807,15806.021872854148,15816.933925952942,215.44000000000003,215.54645161290318,73.43440751186651,73.37982816613021,101.7773462514755
同德路-张家潭,class5,59,164.0,163.99915254237285,14924.348544020864,14836.460518892536,215.34,215.35355932203387,69.27380497596019,68.89329157859149,90.47116836323792
同德路-石碶,class2,39,105.4,105.41538461538461,15446.30997585413,15467.81656891916,215.34000000000003,215.68717948717944,71.40909141981687,71.71366995263313,147.31816858229976
同德路-石碶,class3,60,110.275,110.09500000000001,13233.018191843734,13228.251507002778,215.24,215.29333333333335,61.45159265711342,61.44250854001054,120.81209615667129
同德路-石碶,class4,9,111.7,111.78333333333335,13247.850588187539,13363.118041179023,215.24,215.29555555555555,61.54920362473303,62.06889707352155,118.60206435261897
布政-张家潭,class2,3,113.45,113.43333333333334,16012.072039013874,15991.06297918056,215.24,215.27333333333334,74.3917117590312,74.28269538300333,141.26221472442765
布政-张家潭,class3,80,116.75,116.533125,13812.978642791664,13956.045169378724,215.24,215.25,64.17477533354239,64.83641592174251,118.16850711283718
布政-张家潭,class4,25,118.7,118.78200000000001,14086.227822104136,13978.631623893047,215.24000000000004,215.24,65.44428462230131,64.94439520485525,118.6288457912578
庙堰-雅渡,class3,8,134.925,134.125,18314.345537131965,18705.362222248266,216.08000000000004,217.18250000000003,85.02919730159032,86.10348225086476,135.5928863451899
庙堰-雅渡,class4,95,137.35,137.2584210526316,18528.634070909742,18458.33853837199,215.74000000000004,216.63115789473687,85.42532764400652,85.20342061380165,134.8094604070954
张家潭-同德路,class2,11,147.05,147.54090909090908,17880.902712562518,17866.594083850996,215.24000000000004,215.31272727272733,83.07425530831868,82.97928602731123,120.925232085389
张家潭-同德路,class3,98,151.05,151.09132653061224,17592.395069715287,17646.781175136897,215.24000000000004,215.31020408163272,81.73385555526522,81.95985301934286,116.51127132831371
张家潭-布政,class3,23,116.95,117.05217391304348,12966.234033041681,12998.354628794676,215.24,215.2747826086956,60.24081970378033,60.38033500760045,110.64038518563628
张家潭-布政,class4,53,122.95,121.65000000000002,12019.095698944493,12165.433564594472,215.24000000000004,215.31547169811319,55.84043718149271,56.499815348074634,97.63684564536551
张家潭-布政,class5,27,124.75,124.92592592592592,11717.831264451399,11720.90971756455,215.24,215.25481481481478,54.440769673162045,54.45135821920002,93.81770427903442
石碶-同德路,class3,6,110.19999999999999,110.14166666666665,13341.865339211796,13507.2925787419,215.74,215.89,61.824775413988306,62.55750258941675,121.3165525398471
石碶-同德路,class4,42,112.95,113.43333333333335,13631.081612434024,13554.451547897319,215.63999999999993,216.02238095238093,63.128586513976956,62.740564799259595,120.92282383582534
石碶-同德路,class5,55,117.9,117.91272727272724,11725.936769173612,11762.983745098994,215.44000000000003,215.45818181818186,54.4784276583052,54.59523019073235,99.28820295659283
石碶-雅渡,class2,38,78.92500000000001,78.9171052631579,12333.743097718754,12536.078534820905,215.84000000000003,216.51105263157896,57.12290956617962,57.89538026778589,156.36891764779546
石碶-雅渡,class3,63,82.1,82.39285714285712,12903.747219527759,12673.748861544093,215.6399999999999,216.33238095238096,59.85722898675675,58.58535101011381,155.95403447247074
石碶-雅渡,class4,8,84.275,84.45625,12945.038593322926,12291.999972517366,215.64,215.765,59.988904255352246,56.96864601227129,153.65030971303176
雅渡-庙堰,class2,32,130.05,129.7875,21588.355582024276,21744.897704514966,215.74,217.74124999999998,100.08255329590588,99.85904209662098,166.50630458558672
雅渡-庙堰,class3,67,132.75,132.6507462686567,20767.773421534697,20830.992856019067,215.74000000000004,216.42089552238804,95.7966363763303,96.25548148114196,156.6609740109431
雅渡-庙堰,class4,10,136.5,136.57,19573.830782965284,19568.57635884651,215.58999999999997,215.618,90.79191164082533,90.75643862625387,143.21255929582773
雅渡-石碶,class2,1,80.5,80.5,12725.548366861112,12725.548366861112,216.24,216.24,58.84918778607617,58.84918778607617,158.08134617218772
雅渡-石碶,class3,102,82.2,82.23774509803923,11193.818464204845,11321.630779054733,215.63999999999993,216.38196078431375,51.8638746971751,52.31896213656251,136.457450010189
