序号,区间,segment,来源run_id,绝对开始时间,绝对结束时间,趟次选择方式,数据读取来源,样本数,运行时间(s),区间里程(km),重量(t),历史真实能耗(kWh),Simu物理机械能耗(kWh),Simu-真实(kWh),相对差异(%)
1,布政-张家潭,66,3654,2024-07-16 07:47:38,2024-07-16 07:49:34,traceability-cache+mass,cache+mass,2338,116.85,1.428355277777779,215.34,13.448762468548612,13.280480547853648,-0.16828192069496437,-1.2512818267740982
2,张家潭-同德路,66,3655,2024-07-16 07:50:04,2024-07-16 07:52:36,traceability-cache+mass,cache+mass,3031,151.5,2.021088472222229,215.84,17.940645648131948,16.944218944051435,-0.9964267040805135,-5.554018086212329
3,同德路-石碶,66,3656,2024-07-16 07:53:06,2024-07-16 07:54:51,traceability-cache+mass,cache+mass,2117,105.8,1.33055527777778,216.72,15.801190942208333,15.24175448502976,-0.5594364571785736,-3.5404702039527924
4,石碶-雅渡,66,3657,2024-07-16 07:55:26,2024-07-16 07:56:48,traceability-cache+mass,cache+mass,1643,82.1,0.8274876388888901,224.8,13.696031110909724,14.208999720299285,0.5129686093895616,3.7453814556609095
5,雅渡-庙堰,66,3658,2024-07-16 07:57:17,2024-07-16 07:59:27,traceability-cache+mass,cache+mass,2602,130.05,1.861228333333335,229.2,22.986279607874998,22.145524678285547,-0.8407549295894532,-3.6576381386286374
6,庙堰-钟公庙,66,3659,2024-07-16 07:59:56,2024-07-16 08:01:31,traceability-cache+mass,cache+mass,1894,94.65,1.087595138888888,232.0,16.871147974520834,16.78323069466179,-0.08791727985904435,-0.5211102409380731
7,钟公庙-鄞州区政府,66,3660,2024-07-16 08:02:00,2024-07-16 08:03:29,traceability-cache+mass,cache+mass,1794,89.65,0.9853065277777776,234.1,13.86672766876389,14.245189866416943,0.37846219765305433,2.7292826879810734
8,鄞州区政府-钱湖南路,66,3661,2024-07-16 08:04:09,2024-07-16 08:06:17,traceability-cache+mass,cache+mass,2563,128.1,1.812871111111106,235.5,19.12841852416667,18.384076946038277,-0.7443415781283911,-3.8912865545470834
9,钱湖南路-南高教园区,66,3662,2024-07-16 08:06:47,2024-07-16 08:08:24,traceability-cache+mass,cache+mass,1944,97.15,1.168911111111111,237.5,17.36079070476389,17.530448014853977,0.16965731009008594,0.9772441415558976
10,南高教园区-下应路,66,3663,2024-07-16 08:08:59,2024-07-16 08:10:49,traceability-cache+mass,cache+mass,2220,110.95,1.453058055555556,240.7,23.182702459416667,21.871792685818104,-1.3109097735985633,-5.65468920585693
11,下应路-大洋江,66,3664,2024-07-16 08:11:19,2024-07-16 08:13:00,traceability-cache+mass,cache+mass,2023,101.1,1.214086666666669,241.5,14.898037970048613,14.882268738523376,-0.015769231525237046,-0.1058477066372089
12,大洋江-泗港,66,3665,2024-07-16 08:13:29,2024-07-16 08:15:01,traceability-cache+mass,cache+mass,1831,91.5,0.958582777777778,239.4,12.751680497263887,12.97714898045461,0.2254684831907216,1.768147211962377
13,泗港-曹隘,67,3666,2024-07-16 08:15:30,2024-07-16 08:17:35,traceability-cache+mass,cache+mass,2492,124.55,1.800083333333339,238.2,22.67098276890278,21.624910130880032,-1.046072638022746,-4.6141477353933595
14,曹隘-柳隘,67,3667,2024-07-16 08:18:05,2024-07-16 08:19:56,traceability-cache+mass,cache+mass,2216,110.75,1.308680138888893,242.1,19.025368367208333,19.82346239467491,0.7980940274665772,4.194893954548355
15,柳隘-海晏北路,67,3668,2024-07-16 08:20:25,2024-07-16 08:21:54,traceability-cache+mass,cache+mass,1783,89.1,0.981456666666664,243.8,16.230029114354167,16.802242609892097,0.5722134955379333,3.5256467595110856
16,海晏北路-民安东路,67,3669,2024-07-16 08:22:39,2024-07-16 08:24:03,traceability-cache+mass,cache+mass,1683,84.1,0.8654944444444438,249.6,17.886628616993054,18.270542897517753,0.3839142805246993,2.146375869625674
17,民安东路-会展中心,66,3670,2024-07-16 08:24:34,2024-07-16 08:25:50,traceability-cache+mass,cache+mass,1533,76.6,0.7257455555555553,237.61,13.31470208532639,13.976679506759035,0.6619774214326463,4.9717779428364794
18,会展中心-院士路,66,3671,2024-07-16 08:26:20,2024-07-16 08:28:16,traceability-cache+mass,cache+mass,2313,115.6,1.552529305555554,230.0,15.681461077333335,16.004098837335295,0.32263776000195865,2.0574470606461106
19,院士路-盎孟港,66,3672,2024-07-16 08:28:45,2024-07-16 08:30:16,traceability-cache+mass,cache+mass,1821,91.0,0.9951348611111112,222.91,20.1687715493125,20.2876921262864,0.11892057697390192,0.5896272694801563
20,盎孟港-三官堂,66,3673,2024-07-16 08:30:46,2024-07-16 08:32:57,traceability-cache+mass,cache+mass,2616,130.75,1.878493194444443,217.82,17.949160277659725,16.78025296786082,-1.1689073097989022,-6.512323093207725
21,三官堂-兴庄路,66,3674,2024-07-16 08:33:27,2024-07-16 08:35:05,traceability-cache+mass,cache+mass,1973,98.6,1.081039444444445,215.94,11.666102066631945,11.753324171556093,0.08722210492414706,0.7476542244013511
22,兴庄路-兴海南路,66,3675,2024-07-16 08:35:36,2024-07-16 08:37:04,traceability-cache+mass,cache+mass,1775,88.7,0.9592219444444444,215.45,14.425234413333333,14.593242932217803,0.1680085188844696,1.1646848437289745
23,兴海南路-梅堰,66,3676,2024-07-16 08:37:33,2024-07-16 08:38:55,traceability-cache+mass,cache+mass,1625,81.2,0.834541527777777,215.44,13.094404419319446,13.89627955732679,0.8018751380073446,6.123800001352183
24,梅堰-永茂路,52,3677,2024-07-16 08:39:24,2024-07-16 08:44:43,traceability-cache+mass,cache+mass,6380,318.95,3.677284583333343,215.44,28.987488865451386,28.239585644700636,-0.747903220750748,-2.580089721542363
25,永茂路-镇海大道,66,3678,2024-07-16 08:45:11,2024-07-16 08:47:34,traceability-cache+mass,cache+mass,2852,142.55,2.133014166666664,215.34,17.676847558104168,17.34878516015881,-0.3280623979453594,-1.855887464475843
26,镇海大道-骆驼桥,66,3679,2024-07-16 08:48:02,2024-07-16 08:49:59,traceability-cache+mass,cache+mass,2340,116.95,1.5978004166666648,215.24,20.234487671222226,18.662897979914014,-1.5715896913082106,-7.7668865001378204
