Segment_ID,等级,时长
0,class2,108.0
1,class3,113.3
2,class3,112.45
3,class3,112.45
4,class2,108.15
5,class2,108.65
6,class2,112.0
7,class2,108.05
8,class2,108.4
9,class3,113.1
10,class2,111.15
11,class3,112.15
12,class2,107.85
13,class3,113.15
14,class1,106.05
15,class2,108.2
16,class2,108.6
17,class2,111.5
18,class3,113.2
19,class2,108.1
20,class2,108.7
21,class3,112.5
22,class3,112.3
23,class3,113.35
24,class2,108.5
25,class3,112.35
26,class2,110.55
27,class3,112.55
28,class3,113.45
29,class3,112.65
30,class3,112.35
31,class3,112.65
32,class3,112.7
33,class1,106.25
