Segment_ID,等级,时长
0,class2,104.1
1,class3,109.2
2,class3,108.2
3,class3,107.15
4,class2,102.5
5,class2,103.4
6,class3,108.2
7,class2,104.1
8,class2,103.35
9,class3,109.1
10,class3,108.8
11,class3,107.9
12,class2,103.65
13,class3,107.95
14,class1,99.35
15,class2,103.5
16,class2,104.1
17,class3,109.45
18,class3,107.0
19,class3,109.0
20,class2,102.7
21,class3,107.2
22,class3,107.9
23,class3,107.05
24,class2,103.5
25,class3,108.2
26,class2,103.7
27,class3,108.4
28,class3,108.75
29,class3,108.9
30,class3,107.65
31,class3,108.35
32,class3,109.5
33,class1,101.25
