Segment_ID,等级,时长
0,class2,149.05
1,class2,148.0
2,class2,148.1
3,class2,148.1
4,class2,149.15
5,class2,148.95
6,class2,149.1
7,class2,148.55
8,class3,149.85
9,class2,149.0
10,class3,150.15
11,class2,147.95
12,class2,148.95
13,class2,148.0
14,class1,144.1
15,class2,148.2
16,class2,149.3
17,class3,149.55
18,class4,155.7
19,class2,147.75
20,class2,144.55
21,class3,150.25
22,class2,148.95
23,class2,148.0
24,class2,148.95
25,class2,149.1
26,class3,149.6
27,class2,149.5
28,class2,149.3
29,class2,148.5
30,class3,150.3
31,class2,149.4
32,class2,147.4
33,class3,150.0
