Segment_ID,等级,时长
0,class2,81.4
1,class2,81.5
2,class2,81.35
3,class2,81.6
4,class2,81.5
5,class2,81.25
6,class2,81.3
7,class2,81.1
8,class2,81.3
9,class2,81.4
10,class2,81.25
11,class2,81.4
12,class2,81.35
13,class2,81.35
14,class1,75.8
15,class2,81.25
16,class2,81.75
17,class2,81.75
18,class2,81.6
19,class2,81.35
20,class2,81.55
21,class2,81.35
22,class2,81.4
23,class2,81.55
24,class2,81.35
25,class2,81.55
26,class1,80.1
27,class2,82.4
28,class2,81.8
29,class2,81.8
30,class2,81.75
31,class2,81.7
32,class2,81.75
33,class2,81.6
34,class1,75.1
