Segment_ID,等级,时长
0,class2,94.45
1,class3,99.05
2,class3,98.2
3,class3,98.3
4,class2,94.65
5,class2,94.45
6,class3,99.0
7,class2,94.35
8,class2,94.45
9,class2,97.95
10,class3,98.1
11,class2,97.9
12,class2,95.35
13,class2,97.9
14,class1,92.1
15,class2,94.5
16,class2,95.0
17,class3,98.65
18,class3,98.1
19,class2,94.55
20,class2,94.55
21,class3,98.25
22,class3,99.2
23,class2,97.95
24,class2,94.45
25,class3,98.15
26,class2,95.0
27,class3,98.55
28,class2,97.4
29,class3,99.35
30,class3,99.5
31,class2,97.55
32,class3,98.4
33,class1,92.85
