run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,98.9,101.05,1.067225,0.903787,0.990778,20.288889,19.075669,-1.213219
07/0850712|50712|5012|UP,99.05,101.05,1.056985,0.890493,0.990724,20.278174,19.075669,-1.202505
07/0850714|50714|5012|UP,100.55,101.05,0.96215,0.785617,0.988176,20.142887,19.075669,-1.067218
07/0951902|51902|5012|UP,99.35,101.05,1.108208,0.922939,0.987782,20.320149,19.075669,-1.244479
07/0951904|51904|5012|UP,99.15,101.05,1.070125,0.90522,0.990137,20.338889,19.075669,-1.263219
07/0951912|51912|5012|UP,99.25,101.05,1.068854,0.906402,0.99073,20.308974,19.075669,-1.233305
07/1050304|50304|5012|UP,99.2,101.05,1.060901,0.898443,0.991195,20.283333,19.075669,-1.207664
07/1053002|53002|5012|UP,99.65,101.05,1.045312,0.87145,0.988505,20.202798,19.075669,-1.127129
07/1251004|51004|5012|UP,99.85,101.05,1.199029,1.011001,0.983822,20.302778,19.075669,-1.227108
07/1251012|51012|5012|UP,99.9,101.05,1.20692,1.015259,0.983507,20.305556,19.075669,-1.229886
