run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,78.7,78.0,1.352622,0.855849,0.981341,21.788125,22.222222,0.434097
07/0850712|50712|5012|UP,79.0,78.0,1.341038,0.85,0.981563,21.788812,22.222222,0.43341
07/0850714|50714|5012|UP,78.9,78.0,1.338096,0.854396,0.981735,21.789925,22.222222,0.432297
07/0951902|51902|5012|UP,78.8,78.0,1.338355,0.850253,0.982646,21.830556,22.222222,0.391667
07/0951904|51904|5012|UP,78.85,78.0,1.356839,0.866486,0.980951,21.839704,22.222222,0.382518
07/0951912|51912|5012|UP,78.85,78.0,1.383188,0.879701,0.980007,21.86133,22.222222,0.360892
07/1050304|50304|5012|UP,78.95,78.0,1.358452,0.862816,0.981064,21.79556,22.222222,0.426662
07/1053002|53002|5012|UP,79.3,78.0,1.38218,0.87971,0.982629,21.713889,22.222222,0.508333
07/1251004|51004|5012|UP,78.85,78.0,1.388432,0.877111,0.980466,21.826026,22.222222,0.396196
07/1251012|51012|5012|UP,78.9,78.0,1.338962,0.858827,0.981411,21.822222,22.222222,0.4
