run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,104.35,105.95,0.831532,0.576044,0.9948,21.319444,19.835316,-1.484129
07/0850712|50712|5012|UP,104.5,105.95,0.834377,0.579457,0.994467,21.342638,19.835316,-1.507322
07/0850714|50714|5012|UP,104.25,105.95,0.83756,0.586391,0.99481,21.350941,19.835316,-1.515625
07/0951902|51902|5012|UP,104.2,105.95,0.794045,0.571381,0.995652,21.075136,19.835316,-1.23982
07/0951904|51904|5012|UP,104.3,105.95,0.829832,0.572772,0.994953,21.308333,19.835316,-1.473017
07/0951912|51912|5012|UP,104.05,105.95,0.877589,0.59973,0.994273,21.48304,19.835316,-1.647724
07/1050304|50304|5012|UP,104.05,105.95,0.862632,0.595606,0.994442,21.425202,19.835316,-1.589886
07/1053002|53002|5012|UP,104.4,105.95,0.800837,0.558748,0.994748,21.104825,19.835316,-1.269509
07/1251004|51004|5012|UP,104.35,105.95,0.818308,0.570285,0.995103,21.251173,19.835316,-1.415857
07/1251012|51012|5012|UP,104.1,105.95,0.857899,0.595553,0.994617,21.423356,19.835316,-1.58804
