run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,139.85,141.05,0.319666,0.261587,0.99956,21.841446,21.703561,-0.137884
07/0850712|50712|5012|UP,139.85,141.05,0.322602,0.267802,0.999566,21.852778,21.703561,-0.149216
07/0850714|50714|5012|UP,139.75,141.05,0.327751,0.279686,0.999551,21.859367,21.703561,-0.155805
07/0951902|51902|5012|UP,139.35,141.05,0.376515,0.329793,0.999128,21.885735,21.703561,-0.182174
07/0951904|51904|5012|UP,139.7,141.05,0.358578,0.289969,0.999497,21.894678,21.703561,-0.191117
07/0951912|51912|5012|UP,139.65,141.05,0.363696,0.303894,0.999421,21.891667,21.703561,-0.188105
07/1050304|50304|5012|UP,139.7,141.05,0.347733,0.299808,0.999179,21.862515,21.703561,-0.158954
07/1053002|53002|5012|UP,140.3,141.05,0.290954,0.243518,0.999173,21.776914,21.703561,-0.073353
07/1251004|51004|5012|UP,139.55,141.05,0.333668,0.275341,0.999574,21.869444,21.703561,-0.165883
07/1251012|51012|5012|UP,139.6,141.05,0.364582,0.311449,0.999112,21.861111,21.703561,-0.15755
