run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,131.2,129.0,0.688961,0.584042,0.996793,20.527778,21.305935,0.778157
07/0850712|50712|5012|UP,127.5,129.0,0.520549,0.447309,0.998284,21.754937,21.305935,-0.449002
07/0850714|50714|5012|UP,131.45,129.0,0.743448,0.641958,0.996313,20.479129,21.305935,0.826807
07/0951902|51902|5012|UP,131.15,129.0,0.747121,0.640076,0.996048,20.427778,21.305935,0.878157
07/0951904|51904|5012|UP,131.1,129.0,0.719935,0.613032,0.996749,20.509674,21.305935,0.796261
07/0951912|51912|5012|UP,130.65,129.0,0.650598,0.547809,0.995721,21.025,21.305935,0.280935
07/1050503|50503|5012|UP,129.75,129.0,0.217912,0.182041,0.999376,21.224702,21.305935,0.081233
07/1053002|53002|5012|UP,127.5,129.0,0.613872,0.519183,0.997037,21.830556,21.305935,-0.52462
07/1251004|51004|5012|UP,127.05,129.0,0.682198,0.578931,0.997136,21.93767,21.305935,-0.631735
07/1251012|51012|5012|UP,127.05,129.0,0.67868,0.574567,0.997153,21.941275,21.305935,-0.63534
