run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,98.9,101.05,1.067194,0.903778,0.990783,20.288889,19.075462,-1.213427
07/0850712|50712|5012|UP,99.05,101.05,1.05698,0.890606,0.990729,20.278174,19.075462,-1.202712
07/0850714|50714|5012|UP,100.55,101.05,0.962125,0.78561,0.988182,20.142887,19.075462,-1.067425
07/0951902|51902|5012|UP,99.35,101.05,1.108204,0.923052,0.987787,20.320149,19.075462,-1.244686
07/0951904|51904|5012|UP,99.15,101.05,1.070087,0.905202,0.990143,20.338889,19.075462,-1.263427
07/0951912|51912|5012|UP,99.25,101.05,1.068835,0.906375,0.990736,20.308974,19.075462,-1.233512
07/1050304|50304|5012|UP,99.2,101.05,1.060896,0.898546,0.991199,20.283333,19.075462,-1.207871
07/1053002|53002|5012|UP,99.65,101.05,1.045307,0.871557,0.988509,20.202798,19.075462,-1.127336
07/1251004|51004|5012|UP,99.85,101.05,1.199004,1.010989,0.983828,20.302778,19.075462,-1.227316
07/1251012|51012|5012|UP,99.9,101.05,1.206919,1.015371,0.983512,20.305556,19.075462,-1.230093
