run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,88.25,87.95,1.22211,0.719658,0.976001,21.894497,21.223553,-0.670945
07/0850712|50712|5012|UP,87.55,87.95,0.818286,0.511183,0.989783,21.877698,21.223553,-0.654145
07/0850714|50714|5012|UP,88.45,87.95,1.065574,0.616645,0.980746,21.883333,21.223553,-0.659781
07/0951902|51902|5012|UP,87.55,87.95,0.872132,0.539702,0.987931,21.902778,21.223553,-0.679225
07/0951904|51904|5012|UP,87.8,87.95,0.81751,0.505394,0.989102,21.914902,21.223553,-0.691349
07/0951912|51912|5012|UP,87.7,87.95,0.939656,0.562307,0.985994,21.911111,21.223553,-0.687559
07/1050304|50304|5012|UP,87.95,87.95,0.916308,0.556359,0.986163,21.865112,21.223553,-0.64156
07/1053002|53002|5012|UP,88.05,87.95,0.818608,0.492977,0.989024,21.792152,21.223553,-0.568599
07/1251004|51004|5012|UP,87.75,87.95,0.850459,0.526266,0.988614,21.894444,21.223553,-0.670892
07/1251012|51012|5012|UP,87.7,87.95,0.690851,0.443592,0.992898,21.897138,21.223553,-0.673585
