run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,98.9,101.0,1.045062,0.881236,0.99133,20.288889,19.090796,-1.198092
07/0850712|50712|5012|UP,99.05,101.0,1.034984,0.869682,0.991272,20.278174,19.090796,-1.187378
07/0850714|50714|5012|UP,100.55,101.0,0.945484,0.761075,0.988583,20.142887,19.090796,-1.052091
07/0951902|51902|5012|UP,99.35,101.0,1.086494,0.90212,0.988387,20.320149,19.090796,-1.229352
07/0951904|51904|5012|UP,99.15,101.0,1.049606,0.884018,0.990634,20.338889,19.090796,-1.248092
07/0951912|51912|5012|UP,99.25,101.0,1.049951,0.885882,0.991148,20.308974,19.090796,-1.218178
07/1050304|50304|5012|UP,99.2,101.0,1.042275,0.877998,0.991593,20.283333,19.090796,-1.192537
07/1053002|53002|5012|UP,99.65,101.0,1.023861,0.851189,0.989081,20.202798,19.090796,-1.112002
07/1251004|51004|5012|UP,99.85,101.0,1.179808,0.982672,0.984397,20.302778,19.090796,-1.211981
07/1251012|51012|5012|UP,99.9,101.0,1.188035,0.987885,0.984077,20.305556,19.090796,-1.214759
