run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,128.6,132.0,0.897648,0.779839,0.996914,21.702237,20.560042,-1.142195
07/0850712|50712|5012|UP,128.65,132.0,1.011301,0.876308,0.99339,21.701003,20.560042,-1.140961
07/0850714|50714|5012|UP,128.85,132.0,0.992515,0.860368,0.994412,21.705556,20.560042,-1.145514
07/0951902|51902|5012|UP,128.5,132.0,0.99611,0.868866,0.993432,21.741667,20.560042,-1.181625
07/0951904|51904|5012|UP,128.45,132.0,1.050413,0.91136,0.992932,21.730556,20.560042,-1.170514
07/0951912|51912|5012|UP,128.5,132.0,1.06809,0.933078,0.993203,21.751586,20.560042,-1.191544
07/1050304|50304|5012|UP,128.55,132.0,0.983818,0.859073,0.99531,21.689593,20.560042,-1.129551
07/1053002|53002|5012|UP,128.75,132.0,1.004267,0.863517,0.993601,21.633333,20.560042,-1.073291
07/1251004|51004|5012|UP,128.5,132.0,0.989805,0.860415,0.994081,21.729962,20.560042,-1.16992
07/1251012|51012|5012|UP,128.45,132.0,1.059051,0.921929,0.993117,21.725,20.560042,-1.164958
