run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,108.0,110.0,0.878829,0.68407,0.995556,21.894444,21.066293,-0.828152
07/0850712|50712|5012|UP,108.15,110.0,0.874542,0.677963,0.995568,21.890173,21.066293,-0.82388
07/0850714|50714|5012|UP,108.65,110.0,0.723649,0.581422,0.995244,21.897222,21.066293,-0.830929
07/0951902|51902|5012|UP,108.05,110.0,0.897388,0.697656,0.995455,21.923218,21.066293,-0.856925
07/0951904|51904|5012|UP,108.4,110.0,0.709471,0.53702,0.996924,21.900426,21.066293,-0.834133
07/0951912|51912|5012|UP,107.85,110.0,0.910449,0.709494,0.994226,21.917401,21.066293,-0.851108
07/1050304|50304|5012|UP,108.2,110.0,0.87779,0.686649,0.994637,21.876478,21.066293,-0.810185
07/1053002|53002|5012|UP,108.6,110.0,0.819278,0.642187,0.995428,21.815179,21.066293,-0.748887
07/1251004|51004|5012|UP,108.7,110.0,0.686067,0.537777,0.997041,21.894941,21.066293,-0.828648
07/1251012|51012|5012|UP,108.5,110.0,0.628771,0.490692,0.997397,21.9,21.066293,-0.833707
