run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,104.1,103.5,0.506141,0.248414,0.995601,21.588889,21.613308,0.024419
07/0850712|50712|5012|UP,102.5,103.5,0.50811,0.402961,0.998707,21.833187,21.613308,-0.219879
07/0850714|50714|5012|UP,103.4,103.5,0.304967,0.174579,0.998526,21.463889,21.613308,0.149419
07/0951902|51902|5012|UP,104.1,103.5,0.367951,0.219805,0.997658,21.663889,21.613308,-0.050581
07/0951904|51904|5012|UP,103.35,103.5,0.712706,0.548166,0.99379,21.853309,21.613308,-0.240001
07/0951912|51912|5012|UP,103.65,103.5,0.253112,0.155073,0.99895,21.483902,21.613308,0.129406
07/1050503|50503|5012|UP,103.5,103.5,0.255049,0.174174,0.99897,21.444444,21.613308,0.168863
07/1053002|53002|5012|UP,104.1,103.5,0.711338,0.507629,0.993352,21.716667,21.613308,-0.103359
07/1251004|51004|5012|UP,102.7,103.5,0.680074,0.532253,0.995499,21.888744,21.613308,-0.275436
07/1251012|51012|5012|UP,103.5,103.5,0.332359,0.170459,0.998201,21.602778,21.613308,0.01053
