run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,104.35,105.95,0.757283,0.524539,0.995809,21.319444,20.008651,-1.310793
07/0850712|50712|5012|UP,104.5,105.95,0.760762,0.52828,0.995475,21.343037,20.008651,-1.334386
07/0850714|50714|5012|UP,104.25,105.95,0.764986,0.539431,0.995781,21.351139,20.008651,-1.342488
07/0951902|51902|5012|UP,104.2,105.95,0.721634,0.526303,0.99652,21.074509,20.008651,-1.065858
07/0951904|51904|5012|UP,104.3,105.95,0.756205,0.521473,0.995934,21.307346,20.008651,-1.298695
07/0951912|51912|5012|UP,104.05,105.95,0.805642,0.551818,0.995258,21.482713,20.008651,-1.474062
07/1050304|50304|5012|UP,104.05,105.95,0.789673,0.547098,0.995455,21.426216,20.008651,-1.417565
07/1053002|53002|5012|UP,104.4,105.95,0.728487,0.509451,0.995695,21.105253,20.008651,-1.096602
07/1251004|51004|5012|UP,104.35,105.95,0.744459,0.519612,0.996063,21.251369,20.008651,-1.242718
07/1251012|51012|5012|UP,104.1,105.95,0.785624,0.547956,0.995586,21.424747,20.008651,-1.416096
