run_id,travel_time_raw_real_s,travel_time_generated_s,rmse_speed_mps,mae_speed_mps,corr_speed_shape,peak_speed_real_mps,peak_speed_generated_mps,peak_speed_gap_mps
07/0850704|50704|5012|UP,139.85,141.0,0.365151,0.295535,0.999317,21.84101,21.651431,-0.18958
07/0850712|50712|5012|UP,139.85,141.0,0.366979,0.29829,0.999337,21.852778,21.651431,-0.201347
07/0850714|50714|5012|UP,139.75,141.0,0.373368,0.312486,0.999312,21.85881,21.651431,-0.207379
07/0951902|51902|5012|UP,139.35,141.0,0.413846,0.349883,0.998929,21.885286,21.651431,-0.233855
07/0951904|51904|5012|UP,139.7,141.0,0.405047,0.329814,0.99922,21.893677,21.651431,-0.242246
07/0951912|51912|5012|UP,139.65,141.0,0.405971,0.339041,0.9992,21.891667,21.651431,-0.240236
07/1050304|50304|5012|UP,139.7,141.0,0.385306,0.322945,0.998994,21.86207,21.651431,-0.210639
07/1053002|53002|5012|UP,140.3,141.0,0.328846,0.278237,0.998983,21.777135,21.651431,-0.125705
07/1251004|51004|5012|UP,139.55,141.0,0.378498,0.307322,0.999343,21.869444,21.651431,-0.218014
07/1251012|51012|5012|UP,139.6,141.0,0.403373,0.346764,0.998897,21.861111,21.651431,-0.209681
