t_ref_s,v_ref_mps,v_ref_kmh,s_ref_m
0.0,0.0,0.0,0.0
0.05,0.10311703516095433,0.3712213265794356,0.0025779258790238585
0.1,0.13514614412665904,0.4865261188559726,0.008534505361214193
0.15000000000000002,0.1662436465027596,0.5984771274099346,0.01606925012694966
0.2,0.19644641176081137,0.7072070823389209,0.025136501583538935
0.25000000000000006,0.22579130937236974,0.8128487137405311,0.03569244461186846
0.30000000000000004,0.2543152088089901,0.9155347517123644,0.04769510756640246
0.35,0.28205497954222786,1.0153979263520203,0.061104362275182914
0.4,0.3090474910436384,1.1125709677570983,0.07588192403982957
0.45000000000000007,0.335329612784777,1.2071866060251972,0.09199135163553995
0.5000000000000001,0.3609382142371992,1.299377571253917,0.10939804731108936
0.55,0.3859101648724602,1.3892765935408569,0.12806925678883085
0.6000000000000001,0.41028233416211557,1.4770164029836161,0.14797406926469525
0.65,0.4340915915777207,1.5627297296797946,0.16908341740819116
0.7,0.45737480659083074,1.6465493037269907,0.19137007736240494
0.75,0.48016884867300136,1.728607855222805,0.21480866874400073
0.8,0.5025105872957878,1.8090381142648362,0.23937565464322047
0.8500000000000001,0.5244368919307454,1.8879728109506835,0.2650493416238838
0.9000000000000001,0.5459846320494297,1.965544675377947,0.29180987972338823
0.9500000000000001,0.5671906771233959,2.041886437644225,0.31963926245270885
1.0000000000000002,0.5880918966241995,2.1171308278471184,0.34852132679639874
1.05,0.6087251600233958,2.191410576084225,0.3784417532125886
1.1,0.6291273367925404,2.2648584124531457,0.409388065632987
1.1500000000000001,0.6493352964031883,2.337607067051478,0.44134963146288025
1.2000000000000002,0.6693859083268954,2.4097892699768235,0.47431766158113237
1.25,0.6893160420352037,2.481537751326733,0.5082852103401848
1.3,0.7071826903540188,2.5458576852744677,0.5431976786499154
1.35,0.7274348865851211,2.618765591706436,0.579063118073394
1.4,0.7481627490084585,2.6933858964304505,0.6159530589632334
1.4500000000000002,0.7679235825507839,2.764524897182822,0.6538552172522144
1.5,0.7877900619850446,2.836044223146161,0.6927480583656102
1.5500000000000003,0.8085885622954299,2.9109188242635478,0.7326575239726221
1.6,0.8297361154476757,2.9870500156116324,0.7736156409161997
1.6500000000000001,0.8501696215026152,3.0606106374094146,0.815613284339957
1.7000000000000002,0.8705355156785183,3.133927856442666,0.8586309127694853
1.75,0.8918619525258191,3.210703029092949,0.9026908494745938
1.8000000000000003,0.9144154407025062,3.2918955865290225,0.9478477843053019
1.85,0.9364107340198088,3.3710786424713115,0.9941184386733598
1.9000000000000001,0.958647490549806,3.451130965979302,1.0414948942876001
1.95,0.9819442429879368,3.5349992747565726,1.0900096876260437
2.0000000000000004,1.0059607237309298,3.6214586054313473,1.1397073117940153
2.0500000000000003,1.030144322703572,3.7085195617328592,1.1906099379548778
2.1,1.053885841662769,3.7939890299859687,1.2427106920640363
2.15,1.0774693820163659,3.878889775258917,1.2959945726560147
2.2,1.1020858615085738,3.9675091014308657,1.3504834537441381
2.25,1.1276084820713659,4.0593905354569175,1.4062258123336366
2.3000000000000003,1.15280566393668,4.150100390172048,1.4632361659838378
2.35,1.1783749059608133,4.242149661458928,1.521515680231275
2.4000000000000004,1.2048986243045172,4.337635047496262,1.5810975184879084
2.45,1.232202582270157,4.435929296172565,1.6420250486522752
2.5,1.2596755236029256,4.534831884970532,1.7043220012991023
2.5500000000000003,1.2868269373585148,4.632576974490654,1.7679845628231383
2.6,1.31406623571437,4.730638448571732,1.8330068921499605
2.6500000000000004,1.3424971049723227,4.832989577900362,1.8994209756671279
2.7,1.3716656888330123,4.937996479798844,1.9672750455122612
2.75,1.4003479128433538,5.041252486236074,2.0365753855541704
2.8,1.4295264369360348,5.146295172969725,2.107322244298655
2.8500000000000005,1.4596231329418514,5.254643278590665,2.179550983545602
2.9000000000000004,1.4903895749789984,5.365402469924394,2.2533013012436234
2.95,1.5205142877863018,5.473851436030687,2.3285738978127557
3.0,1.550821562658124,5.582957625569247,2.4053572940738666
3.05,1.5820287481010071,5.6953034931636255,2.483678551842845
3.1000000000000005,1.613783497718337,5.809620591786013,2.5635738579883287
3.1500000000000004,1.6455193535979036,5.923869672952453,2.645056429271235
3.2,1.6766894095841376,6.036081874502895,2.7281116483507857
3.25,1.7077187470525799,6.147787489389287,2.8127218522667037
3.3000000000000003,1.7394264794909555,6.26193532616744,2.898900482930292
3.3500000000000005,1.771224938561463,6.376409778821267,2.9866667683816024
3.4000000000000004,1.8020492807671522,6.487377410761748,3.075998623864818
3.45,1.832537376507549,6.597134555427177,3.1668632902966856
3.5,1.8633319123805303,6.707994884569909,3.2592600225188875
3.5500000000000003,1.8943594948664886,6.819694181519359,3.353202307700063
3.6000000000000005,1.9253676213051474,6.931323436698531,3.448695485604354
3.65,1.9554156571994852,7.039496365918147,3.5457150675669697
3.7,1.9850607928315718,7.146218854193658,3.644226978817746
3.7500000000000004,2.0152193538442966,7.254789673839468,3.744233982484643
3.8000000000000003,2.045833344826654,7.365000041375954,3.845760299951417
3.8500000000000005,2.075586659723352,7.472111975004067,3.948795800065167
3.9,2.104836391125594,7.577411008052138,4.053306376336391
3.95,2.1345873629423027,7.68451450659229,4.159291970188088
4.000000000000001,2.1648094717985273,7.793314098474698,4.266776891056608
4.05,2.1950060101949815,7.902021636701933,4.375772278106446
4.1000000000000005,2.224233090450833,8.007239125622998,4.486253255622591
4.15,2.2531826959553882,8.111457705439397,4.598188650282746
4.2,2.282669578349622,8.217610482058639,4.711584957140372
4.25,2.3126775713785226,8.325639256962681,4.826468635883575
4.3,2.3417631764772637,8.430347435318149,4.94282965457997
4.3500000000000005,2.370179821240085,8.532647356464306,5.060628229522904
4.4,2.3989709247448934,8.636295329081616,5.179856998172529
4.45,2.4281469187879474,8.74132890763661,5.30053494426085
4.5,2.4563397126692106,8.842822965609159,5.422647110047278
