run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,93.45,1104.1446,215.74,1870
07/0850708|50708|5012|UP,93.1,1103.9759,215.34,1863
07/0850710|50710|5012|UP,93.4,1103.9666,215.44,1869
07/0951906|51906|5012|UP,94.05,1103.7443,215.34,1882
07/0951908|51908|5012|UP,92.05,1103.8122,215.74,1842
07/0951910|51910|5012|UP,93.05,1103.8314,215.84,1862
07/0951914|51914|5012|UP,93.05,1104.1608,215.74,1862
07/1053004|53004|5012|UP,93.95,1103.892,215.54,1880
07/1250510|50510|5012|UP,93.95,1103.7573,216.14,1880
07/1251002|51002|5012|UP,93.45,1103.4487,215.94,1870
07/1251006|51006|5012|UP,93.9,1103.665,215.94,1879
07/1251008|51008|5012|UP,94.0,1103.8028,216.34,1881
07/1251014|51014|5012|UP,94.05,1103.8068,215.34,1882
