run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,139.9,2164.337,215.24,2799
07/0850708|50708|5012|UP,140.0,2163.7221,215.24,2801
07/0850710|50710|5012|UP,139.9,2163.683,215.34,2799
07/0951906|51906|5012|UP,139.65,2164.6825,215.34,2794
07/0951908|51908|5012|UP,139.55,2163.9527,215.34,2792
07/0951910|51910|5012|UP,139.7,2164.2905,215.44,2795
07/0951914|51914|5012|UP,139.6,2164.4671,217.02,2793
07/1053004|53004|5012|UP,140.45,2164.6148,215.54,2810
07/1251002|51002|5012|UP,139.7,2164.3679,215.34,2795
07/1251006|51006|5012|UP,139.85,2164.6929,215.34,2798
07/1251008|51008|5012|UP,139.85,2164.0721,215.54,2798
07/1251014|51014|5012|UP,139.9,2164.5406,215.34,2799
07/1251510|51510|5012|UP,139.65,2164.8267,215.54,2794
