run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850704|50704|5012|UP,76.45,840.3255,220.6,1530
07/0850706|50706|5012|UP,76.55,839.5854,215.74,1532
07/0850708|50708|5012|UP,81.45,840.5324,215.64,1630
07/0850710|50710|5012|UP,76.45,840.2934,215.24,1530
07/0850712|50712|5012|UP,79.35,840.7675,215.44,1588
07/0850714|50714|5012|UP,76.65,840.2395,215.64,1534
07/0951902|51902|5012|UP,76.15,840.6711,215.44,1524
07/0951904|51904|5012|UP,76.2,840.1006,222.3,1525
07/0951906|51906|5012|UP,79.1,839.725,215.44,1583
07/0951908|51908|5012|UP,76.4,839.4278,215.64,1529
07/0951910|51910|5012|UP,76.15,840.2028,215.74,1524
07/0951912|51912|5012|UP,76.15,840.556,216.64,1524
07/0951914|51914|5012|UP,81.1,840.9957,215.74,1623
07/1050503|50503|5012|UP,76.45,840.2422,216.04,1530
07/1053002|53002|5012|UP,79.75,840.4745,216.94,1596
07/1053004|53004|5012|UP,82.15,840.2022,215.54,1644
07/1250510|50510|5012|UP,81.45,840.0704,216.04,1630
07/1251002|51002|5012|UP,79.15,839.3751,215.64,1584
07/1251004|51004|5012|UP,79.25,840.3978,223.1,1586
07/1251006|51006|5012|UP,81.3,840.5245,215.94,1627
07/1251008|51008|5012|UP,81.2,839.7506,216.24,1625
07/1251012|51012|5012|UP,81.45,840.4328,216.54,1630
07/1251014|51014|5012|UP,81.25,840.0997,215.44,1626
