t_ref_s,v_ref_mps,v_ref_kmh,s_ref_m
0.0,0.0,0.0,0.0
0.05,0.06698961338374283,0.2411626081814742,0.0016747403345935708
0.1,0.10160945056766225,0.36579402204358413,0.005889716933378698
0.15,0.13522700368290752,0.4868172132584671,0.011810628289642942
0.2,0.16787877917028896,0.6043636050130402,0.019388272860972854
0.25,0.19960128347061684,0.7185646204942207,0.0285752744269955
0.3,0.2304310230247015,0.8295516828889254,0.03932608208937846
0.35000000000000003,0.2604045042733532,0.9374562153840715,0.05159697027182983
0.4,0.2895582336573822,1.042409641166576,0.06534603872009821
0.44999999999999996,0.317928717617599,1.1445433834233565,0.08053321250197275
0.5,0.34555246259481365,1.2439888653413291,0.09712024200728306
0.55,0.3724659750298366,1.3408775101074117,0.11507070294789931
0.6,0.398705761363478,1.4353407409085208,0.13434999635773218
0.65,0.4243083280365484,1.5275099809315742,0.15492534859273283
0.7000000000000001,0.4493101814898579,1.6175166533634886,0.17676581133089297
0.75,0.4737478281642169,1.705492181391181,0.19984226157224486
0.8,0.4976577745004357,1.7915679882015685,0.22412740163886116
0.85,0.5210765269393244,1.8758754969815679,0.24959575917485516
0.8999999999999999,0.5440405919216936,1.9585461309180972,0.2762236871463806
0.95,0.5665864758883534,2.0397113131980724,0.3039893638416318
1.0,0.5887506852801142,2.1195024670084113,0.3328727928708435
1.05,0.6105697265377863,2.1980510155360307,0.362855803166291
1.1,0.6320801061021799,2.2754883819678478,0.39392204898229016
1.15,0.6533183304141055,2.3519459894907797,0.4260570098951973
1.2,0.6743209059143731,2.4275552612917433,0.4592479908034093
1.25,0.6951243390437803,2.5024476205576094,0.49348412192736313
1.3,0.7150348818772656,2.574125574758156,0.5287381024503893
1.35,0.7357536096199345,2.6487129946317642,0.5650078147378194
1.4000000000000001,0.7549159915538397,2.717697569593823,0.6022745547671637
1.45,0.7755024022187342,2.7918086479874433,0.6405350146114781
1.5,0.796741715554131,2.8682701759948714,0.6798411175557997
1.55,0.8179028844241942,2.9444503839270992,0.7202072325552578
1.6,0.8393661238079977,3.0217180457087918,0.7616389577610626
1.6500000000000001,0.8599237179148224,3.0957253844933605,0.8041212038041331
1.7,0.8802374408882881,3.168854787197837,0.8476252327742109
1.75,0.9023096030865001,3.2483145711114005,0.8921889088735806
1.7999999999999998,0.9244712350348767,3.3280964461255564,0.937858429826615
1.8499999999999999,0.9456915470590572,3.4044895694126063,0.9846124993789634
1.9,0.9670620449437453,3.481423361797483,1.0324313391790336
1.95,0.9893541064224244,3.561674783120728,1.081341742963188
2.0,1.0129476948011715,3.6466117012842174,1.1313992879937778
2.05,1.0368978408973453,3.732832227230443,1.1826454263862407
2.1,1.0603352661819243,3.8172069582549275,1.2350762540632225
2.15,1.0842601820602247,3.9033366554168087,1.2886911402692762
2.2,1.109549417251156,3.9943779021041617,1.3435363802520608
2.25,1.1351010844589189,4.086363904052108,1.3996526427948126
2.3,1.1601709237153761,4.176615325375354,1.45703444299917
2.35,1.1855148348647409,4.267853405513067,1.5156765869636728
2.4,1.2122722044792529,4.364179936125311,1.5756212629472726
2.45,1.2391701963804151,4.461012706969495,1.6369073229687643
2.5,1.2654570004102028,4.555645201476731,1.6995230028885298
2.5500000000000003,1.2920283207622425,4.651301954744073,1.7634601359178408
2.6,1.3199099136509698,4.751675689143491,1.828758591778171
2.65,1.3478213927080007,4.852157013748803,1.8954518744371454
2.7,1.376173865772698,4.954225916781713,1.9635517558991629
2.75,1.4040754037463774,5.054671453486959,2.03305798763714
2.8000000000000003,1.432250761939969,5.156102742983888,2.1039661417792987
2.85,1.4615547476852095,5.261597091666754,2.176311279519928
2.9,1.4910268509919407,5.367696663570986,2.2501258194868567
2.95,1.5198267986439569,5.4713764751182445,2.3253971607277544
3.0,1.5486563807912805,5.57516297084861,2.4021092402136355
3.0500000000000003,1.5786909103263642,5.6832872771749114,2.4802929224915764
3.1,1.6087422390339476,5.791472060522212,2.559978751225584
3.1500000000000004,1.6388068434920826,5.899704636571498,2.6411674782887347
3.2,1.6682163431409984,6.0055788353075945,2.7238430579545616
3.25,1.6975749419264239,6.111269790935126,2.807987840081247
3.3000000000000003,1.7280504025509247,6.220981449183329,2.8936284736931808
3.3499999999999996,1.7581029267052395,6.329170536138863,2.980782306924585
3.4,1.7872625150688868,6.434145054247993,3.069416442968938
3.4499999999999997,1.8160839178438326,6.537902104237798,3.159500103791756
3.5,1.8457588066672859,6.644731704002229,3.251046171904534
3.55,1.8752306583010205,6.7508303698836745,3.3440709085287414
3.5999999999999996,1.903621763170641,6.853038347414308,3.438542219065533
3.65,1.9320053807686228,6.955219370767042,3.5344328976640145
3.6999999999999997,1.9612013358802267,7.060324809168816,3.6317630655802358
3.75,1.9902579270701615,7.164928537452582,3.7305495471539953
3.8,2.019426009397431,7.269933633830751,3.830791645565685
3.8499999999999996,2.0475492083625513,7.371177150105185,3.9324660260096844
3.9,2.0755799175015524,7.472087703005589,4.035544254156287
3.9499999999999997,2.104830674408088,7.577390427869116,4.140054518954028
4.0,2.133851653869054,7.681865953928594,4.246021577160957
4.050000000000001,2.161815795500549,7.782536863801976,4.353413263395197
4.1,2.1897088395106055,7.88295182223818,4.462201379270476
4.15,2.2184264900928503,7.986335364334261,4.572404762510562
4.2,2.2472729972491714,8.090182790097018,4.684047249694112
4.25,2.27624892724381,8.194496138077715,4.797135297806436
4.3,2.303889669075133,8.294002808670479,4.91163876271441
4.3500000000000005,2.331583010562671,8.393698838025616,5.027525579705355
4.4,2.3605533408331434,8.497992026999317,5.14482898849025
4.449999999999999,2.3892787303600227,8.601403429296083,5.263574790270079
4.5,2.41709740499969,8.701550657998883,5.383734193654072
4.55,2.4447848321718157,8.801225395818538,5.505281249583359
4.6,2.4735499860321015,8.904779949715566,5.628239620038458
4.6499999999999995,2.5023303031904107,9.008389091485478,5.752636627269021
4.7,2.531292265333758,9.11265215520153,5.8784771914821246
4.75,2.5590310967153664,9.212511948175319,6.005735275533353
4.8,2.586847065870324,9.312649437133167,6.134382229597995
4.85,2.6156969706120945,9.41650909420354,6.264445830510056
4.9,2.6446835337908237,9.520860721646965,6.395955343120129
4.949999999999999,2.672508689010144,9.621031280436519,6.5288851486901525
5.0,2.700309935294821,9.721115767061356,6.663205614297777
5.05,2.729224771669622,9.825209178010638,6.798943981971888
5.1000000000000005,2.7581031154599676,9.929171215655883,6.9361271791501276
5.1499999999999995,2.785868875852174,10.029127953067826,7.074726478932931
5.2,2.813570145039094,10.128852522140738,7.214712454455213
5.25,2.842345051227984,10.232442184420742,7.356110334361889
5.3,2.8709541049123506,10.335434777684462,7.498942813265398
5.35,2.899655711341085,10.438760560827905,7.643208058671734
5.4,2.9273004170220984,10.538281501279554,7.788881961880813
5.449999999999999,2.95501093519163,10.638039366689869,7.935939745686157
5.5,2.983746580393107,10.741487689415186,8.084408683575775
5.55,3.01250651203872,10.845023443339393,8.23431501088657
5.6000000000000005,3.039978507126063,10.943922625653826,8.38562713636569
5.6499999999999995,3.067465350920184,11.042875263312663,8.538313232816845
5.7,3.096106429993322,11.14598314797596,8.692402527339683
5.75,3.1245161586646644,11.248258171192791,8.847918092056132
5.8,3.152954200548084,11.350635121973104,9.00485485103645
5.85,3.180345723194878,11.449244603501562,9.163187349130023
5.9,3.206868218985646,11.544725588348326,9.322867697684536
5.95,3.2345699286003096,11.644451742961115,9.483903651374185
6.0,3.2626379482610033,11.745496613739611,9.646333848295717
6.05,3.2899325768042442,11.84375727649528,9.810148111422349
6.1000000000000005,3.3175387765168325,11.943139595460597,9.975334895255376
6.1499999999999995,3.346214712299951,12.046372964279824,10.141928732475796
6.2,3.374985969230395,12.149949489229423,10.309958749514054
6.25,3.40280414052407,12.250094905886652,10.479403502257917
6.300000000000001,3.43054888622109,12.349975990395926,10.650237327926545
6.35,3.45853876141645,12.45073954109922,10.822464519117483
6.4,3.4876367528142675,12.555492310131363,10.996118906973251
6.45,3.5167611069584397,12.660339985050383,11.17122885346757
6.5,3.544919477224785,12.761710118009226,11.34777086807215
6.55,3.573407727870954,12.864267820335435,11.525729048199544
6.6000000000000005,3.602941491061765,12.970589367822354,11.705137778672862
6.65,3.632545722691523,13.077164601689484,11.886024959016694
6.699999999999999,3.6613193705154323,13.180749733855556,12.068371586346869
6.75,3.690094591295568,13.284340528664044,12.252156935392144
6.8,3.7197935778084106,13.391256880110278,12.437404139619742
6.85,3.7495319511451664,13.498315024122599,12.624137277843582
6.8999999999999995,3.7793423658770964,13.605632517157547,12.812359135769139
6.95,3.808054920081167,13.708997712292202,13.002044067918096
7.0,3.836999453869525,13.813198033930291,13.193170427266864
7.05,3.8669089019254765,13.920872046931716,13.385768136161738
7.1,3.8969247447405886,14.028929081066119,13.57986397732839
7.15,3.9257290966700396,14.132624748012143,13.775430323363656
7.199999999999999,3.954693072197357,14.236895059910486,13.97244087758534
7.25,3.984500844362826,14.344203039706175,14.170920725499345
7.3,4.014325352782546,14.451571270017165,14.37089138042798
7.3500000000000005,4.0442565705526725,14.55932365398962,14.57235592851136
7.3999999999999995,4.07310855159666,14.663190785747977,14.775290056565094
7.45,4.101851621151527,14.766665836145496,14.979664060883799
7.5,4.131709539161497,14.874154340981388,15.185503089891625
7.55,4.161602439717946,14.981768782984606,15.392835889363612
7.6,4.190139074497644,15.084500668191518,15.601629427219002
7.65,4.218780593998526,15.187610138394692,15.811852418931407
7.699999999999999,4.248391243289687,15.294208475842874,16.023531714863612
7.75,4.277965148323398,15.400674533964233,16.23669062465394
7.8,4.306185052637325,15.50226618949437,16.451294379677957
7.8500000000000005,4.334496691758382,15.604188090330174,16.66731142328785
7.8999999999999995,4.363675533106241,15.709231919182466,16.884765728909464
7.95,4.39242099355457,15.812715576796451,17.103668142075986
8.0,4.421077110089234,15.915877596321243,17.32400559466708
8.049999999999999,4.448769319048289,16.01556954857384,17.545751755395518
8.100000000000001,4.476035068115211,16.11372624521476,17.768871865074605
8.149999999999999,4.504352181123936,16.21566785204617,17.993381546305585
8.2,4.53240340161213,16.316652245803667,18.219300435873986
8.25,4.559182855532062,16.413058279915422,18.446590092302593
8.3,4.585824895996046,16.508969625585767,18.675215286090797
8.35,4.613300477423586,16.607881718724908,18.905193420426286
8.4,4.640752338671229,16.706708419216426,19.136544740828658
8.450000000000001,4.669099967030749,16.808759881310696,19.369291048471208
8.5,4.696179729753447,16.90624702711241,19.603423040890814
8.549999999999999,4.723330275506338,17.00398899182282,19.838910791022307
