run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850704|50704|5012|UP,95.85,1097.7838,216.94,1918
07/0850706|50706|5012|UP,101.5,1097.4779,215.64,2031
07/0850708|50708|5012|UP,101.45,1097.0462,215.54,2030
07/0850710|50710|5012|UP,101.55,1097.2037,215.34,2032
07/0850712|50712|5012|UP,95.9,1097.1335,215.84,1919
07/0850714|50714|5012|UP,95.75,1098.5129,216.24,1916
07/0951902|51902|5012|UP,95.9,1097.4727,215.54,1919
07/0951904|51904|5012|UP,95.7,1097.6719,215.94,1915
07/0951906|51906|5012|UP,102.45,1098.0374,215.34,2050
07/0951908|51908|5012|UP,101.4,1098.1796,215.54,2029
07/0951910|51910|5012|UP,101.35,1098.0972,215.74,2028
07/0951912|51912|5012|UP,95.7,1097.9419,222.6,1915
07/0951914|51914|5012|UP,102.5,1097.6568,218.42,2051
07/1050304|50304|5012|UP,95.85,1097.7973,216.54,1918
07/1053002|53002|5012|UP,96.25,1097.3345,224.3,1926
07/1053004|53004|5012|UP,99.85,1097.4274,216.52,1998
07/1251002|51002|5012|UP,101.6,1097.7881,215.54,2033
07/1251004|51004|5012|UP,95.9,1097.4048,215.64,1919
07/1251006|51006|5012|UP,101.7,1098.1167,215.54,2035
07/1251008|51008|5012|UP,100.65,1097.8543,216.04,2014
07/1251012|51012|5012|UP,95.9,1097.4106,222.8,1919
07/1251014|51014|5012|UP,100.55,1097.4685,215.84,2012
07/1251510|51510|5012|UP,101.4,1097.9369,215.84,2029
