run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,79.45,846.2,215.24,1590
07/0850708|50708|5012|UP,79.15,846.2596,215.44,1584
07/0850710|50710|5012|UP,80.0,846.0367,215.34,1601
07/0951906|51906|5012|UP,79.25,846.3193,215.34,1586
07/0951908|51908|5012|UP,79.6,846.2653,215.34,1593
07/0951910|51910|5012|UP,79.15,846.5084,215.64,1584
07/0951914|51914|5012|UP,79.8,846.2149,217.42,1597
07/1053004|53004|5012|UP,79.95,846.4441,216.04,1600
07/1251002|51002|5012|UP,79.5,847.4273,215.34,1591
07/1251006|51006|5012|UP,79.8,846.2057,215.34,1597
07/1251008|51008|5012|UP,81.05,846.4446,215.54,1622
07/1251014|51014|5012|UP,79.75,847.0447,215.34,1596
07/1251510|51510|5012|UP,79.95,846.4199,215.64,1600
