run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,104.15,1327.8812,216.04,2084
07/0850708|50708|5012|UP,104.25,1326.8667,215.92,2086
07/0850710|50710|5012|UP,104.1,1326.7702,215.74,2083
07/0951906|51906|5012|UP,104.2,1327.6356,216.14,2085
07/0951908|51908|5012|UP,103.95,1327.1861,216.24,2080
07/0951910|51910|5012|UP,103.95,1327.8595,215.54,2080
07/0951914|51914|5012|UP,104.1,1328.0461,216.64,2083
07/1053004|53004|5012|UP,104.75,1327.7329,215.74,2096
07/1251002|51002|5012|UP,104.05,1327.3574,216.82,2082
07/1251006|51006|5012|UP,104.25,1327.9677,215.74,2086
07/1251008|51008|5012|UP,104.25,1328.0694,216.44,2086
07/1251014|51014|5012|UP,104.05,1327.6237,215.84,2082
07/1251510|51510|5012|UP,104.05,1327.8778,215.84,2082
