run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850706|50706|5012|UP,132.35,1826.9685,215.84,2648
07/0850708|50708|5012|UP,132.6,1826.0244,215.64,2653
07/0850710|50710|5012|UP,132.75,1826.7488,215.94,2656
07/0951906|51906|5012|UP,132.1,1826.3122,216.14,2643
07/0951908|51908|5012|UP,131.75,1826.2449,216.34,2636
07/0951910|51910|5012|UP,132.25,1826.1225,215.44,2646
07/0951914|51914|5012|UP,131.8,1827.3183,216.84,2637
07/1053004|53004|5012|UP,132.9,1826.7615,216.04,2659
07/1251002|51002|5012|UP,132.25,1826.0493,217.02,2646
07/1251006|51006|5012|UP,132.4,1826.6615,215.94,2649
07/1251008|51008|5012|UP,132.3,1826.5729,216.24,2647
07/1251014|51014|5012|UP,132.6,1826.496,216.24,2653
07/1251510|51510|5012|UP,132.4,1826.7087,216.14,2649
