run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850704|50704|5012|UP,87.15,999.1513,228.2,1744
07/0850706|50706|5012|UP,88.1,999.4959,215.84,1763
07/0850708|50708|5012|UP,89.2,999.1065,215.54,1785
07/0850710|50710|5012|UP,89.35,999.1121,215.54,1788
07/0850712|50712|5012|UP,87.3,999.6452,215.54,1747
07/0850714|50714|5012|UP,87.2,999.6079,215.74,1745
07/0951904|51904|5012|UP,87.05,999.2499,228.1,1742
07/0951906|51906|5012|UP,89.05,999.3036,215.54,1782
07/0951908|51908|5012|UP,89.1,999.1965,215.84,1783
07/0951910|51910|5012|UP,88.15,999.2645,215.84,1764
07/0951914|51914|5012|UP,89.15,999.8883,215.64,1784
07/1053004|53004|5012|UP,88.55,999.7302,215.54,1772
07/1250510|50510|5012|UP,89.1,999.4098,216.24,1783
07/1251002|51002|5012|UP,87.4,999.3443,216.32,1749
07/1251006|51006|5012|UP,89.05,999.4898,215.94,1782
07/1251008|51008|5012|UP,88.05,999.3788,216.44,1762
07/1251014|51014|5012|UP,88.2,999.4144,215.54,1765
