t_ref_s,v_ref_mps,v_ref_kmh,s_ref_m
0.0,0.0,0.0,0.0
0.05,0.08933494967552968,0.32160581883190686,0.002233373741888242
0.1,0.13140526708459815,0.47305896150455334,0.007751879160891439
0.15,0.17095185948500502,0.6154266941460181,0.015310807325131518
0.2,0.20812657335155005,0.7492556640655802,0.024787768146045396
0.25,0.24308125515903284,0.8750925185725182,0.03606796385880997
0.3,0.27596775138225316,0.9934839049761114,0.04904418902234212
0.35,0.30693790849601066,1.1049764705856384,0.06361683051929871
0.4,0.33614357297510505,1.2101168627103782,0.0796938675560766
0.45,0.363736591294336,1.3094517286596097,0.09719087166281262
0.5,0.38986880992850326,1.4035277157426118,0.1160310066933836
0.55,0.4146920753524065,1.4928914712686634,0.13614502882540636
0.6,0.4383582340408453,1.578089642547043,0.15747128656023765
0.65,0.46101913246861953,1.6596688768870302,0.17995572072297428
0.7,0.48282661711052877,1.7381758215979035,0.203551864462453
0.7500000000000001,0.5039325344413609,1.8141571239888992,0.22822084325125025
0.8,0.5228313954963046,1.8821930237866968,0.2538899414996919
0.85,0.5422949347166329,1.9522617649798786,0.28051809975501535
0.9,0.5644059516724793,2.031861426020926,0.30818562191474314
0.95,0.5866300695114963,2.111868250241387,0.3369615224443425
1.0,0.6090947488985927,2.192741096034934,0.36685464290459474
1.05,0.6306080727516337,2.270189061905881,0.3978472134458504
1.1,0.6520913822223231,2.3475289760003633,0.4299146998201993
1.15,0.6735396226596386,2.4247426415746993,0.46305547494224836
1.2,0.695475593007648,2.503712134827533,0.4972808553339305
1.25,0.7172518997750167,2.58210683919006,0.5325990426534971
1.3,0.7394138618922173,2.661889902811982,0.569015686695178
1.35,0.7615731781925241,2.741663441493087,0.6065403626972965
1.4,0.784032497255177,2.822516990118637,0.6451805045834891
1.45,0.805827355651596,2.9009784803457457,0.6849270009061584
1.5000000000000002,0.827172245108458,2.977820082390449,0.7257519909251597
1.55,0.8486510455281967,3.055143763901508,0.7676475731910761
1.6,0.8707428948469984,3.134674421449194,0.810632421700456
1.65,0.8924556775992056,3.2128404393571404,0.8547123860116111
1.7,0.9139802769008469,3.290328996843049,0.8998732848741124
1.75,0.9362436060651474,3.370476981834531,0.9461288819482623
1.8,0.9590733824245607,3.452664176728419,0.993511806660505
1.85,0.9825705812441212,3.5372540924788365,1.042052905752222
1.9,1.0060128783205138,3.6216463619538497,1.091767492241338
1.95,1.0294762180435495,3.7061143849567784,1.1426547196504397
2.0,1.0535325200457493,3.7927170721646974,1.1947299381026721
2.05,1.0782969839551626,3.8818691422385854,1.2480256757026948
2.1,1.103292268832242,3.971852167796071,1.30256540702238
2.1500000000000004,1.128369611690221,4.062130602084796,1.3583569540354417
2.2,1.154317838978182,4.155544220321455,1.4154241403021517
2.25,1.181314531007892,4.252732311628412,1.4738149495518036
2.3,1.208376256407277,4.350154523066197,1.533557219237183
2.35,1.2358141288976943,4.448930864031699,1.594661978869807
2.4,1.2639390612803283,4.550180620609182,1.6571558086242577
2.4499999999999997,1.292483538774791,4.652940739589248,1.7210663736256357
2.5,1.3213635176268999,4.75690866345684,1.786412550035678
2.5500000000000003,1.3505496237493513,4.861978645497665,1.8532103785700842
2.6,1.379901870490703,4.96764673376653,1.9214716659260855
2.6500000000000004,1.409663898825696,5.074790035772506,1.9912108101589956
2.7,1.4396756839344342,5.182832462163963,2.062444299727999
2.75,1.4694932528357008,5.290175710208523,2.1351735231472526
2.8,1.4990600309235176,5.396616111324663,2.209387355241233
2.85,1.5283676820960739,5.502123655545866,2.2850730480667227
2.9,1.5578626453291542,5.6083055231849555,2.3622288062523533
2.9499999999999997,1.5866607840478735,5.711978822572345,2.440841891986779
3.0000000000000004,1.615689541342146,5.816482348831726,2.520900650121529
3.0500000000000003,1.64458560730068,5.920508186282448,2.6024075288376
3.1,1.673819948983411,6.0257518163402795,2.685367667744702
3.15,1.702914657894242,6.130492768419272,2.7697860329166435
3.2,1.7318354764081785,6.234607715069442,2.855654786274204
3.25,1.7609189133049423,6.339308087897792,2.9429736460170317
3.3,1.7899970242225902,6.443989287201325,3.03174654445522
3.35,1.8193681707074263,6.549725414546735,3.1219806743284706
3.4,1.8483366380898392,6.6540118971234214,3.213673294548402
3.45,1.8771492061395867,6.7577371421025125,3.3068104406541377
3.5,1.906009425388386,6.861633931398189,3.401389406442337
3.5500000000000003,1.9349162070893318,6.965698345521594,3.49741254725428
3.6,1.9635673084287055,7.06884231034334,3.5948746351422307
3.65,1.9923348866743544,7.172405592027676,3.693772190019807
3.7,2.021142680846138,7.276113651046097,3.7941091292078193
3.75,2.049991160739082,7.379968178660695,3.89588747524745
3.8,2.078794021449787,7.483658477219234,3.999107104802172
3.85,2.1080064798839664,7.588823327582279,4.1037771173355155
3.9,2.1369773424850385,7.693118432946139,4.209901712894741
3.9499999999999997,2.1658549827882796,7.797077938037806,4.317472521026573
4.0,2.194809388825324,7.9013137997711675,4.426489130316914
4.05,2.224175097095418,8.007030349543506,4.536963742464932
4.1,2.253100173203438,8.111160623532378,4.648895624222404
4.15,2.28226595793114,8.216157448552105,4.762279777500768
4.2,2.3112314068498474,8.32043306465945,4.877117211620293
4.25,2.3403731763427467,8.425343434833888,4.993407326200108
4.300000000000001,2.369376824626174,8.529756568654227,5.111151076224331
4.3500000000000005,2.398221145913177,8.633596125287438,5.230341025487815
4.4,2.4272785171590416,8.73820266177255,5.35097851706462
4.45,2.4562790800053738,8.842604688019346,5.47306745699373
4.5,2.485813861862738,8.948929902705856,5.596619780540433
4.55,2.5146101581999214,9.052596569519718,5.721630381041999
4.6,2.543361803647798,9.156102493132073,5.848079680088192
4.65,2.5721163650140424,9.259618914050552,5.975966634304738
4.7,2.6010238958111302,9.363686024920069,6.105295140825367
4.75,2.6296732893290566,9.466823841584604,6.236062570453872
4.8,2.6583422866696975,9.570032232010911,6.368262959853841
4.85,2.687018103029937,9.673265170907774,6.5018969695963325
4.8999999999999995,2.715762482232977,9.776744936038718,6.636966484227905
4.95,2.7440573475720584,9.87860645125941,6.773461979973031
5.0,2.7722365996672087,9.980051758801952,6.911369328654013
5.050000000000001,2.800314172908743,10.081131022471475,7.050683097968411
5.1000000000000005,2.828381757792853,10.182174328054272,7.191400496235952
5.15,2.8565418101135447,10.283550516408761,7.333523585433611
5.2,2.884649943828149,10.384739797781336,7.477053379282154
5.25,2.912796530940241,10.486067511384867,7.621989541151364
5.300000000000001,2.9411811782792205,10.588252241805193,7.768338983881851
5.3500000000000005,2.9696131327506605,10.690607277902378,7.916108841657597
5.4,2.9974504025247253,10.79082144908901,8.065285430039483
5.45,3.0257612063040256,10.892740342694493,8.2158657202602
5.5,3.0540203767887877,10.994473356439636,8.36786025983752
5.55,3.082667940191367,11.09760458468892,8.521277467762024
5.6,3.1110645260891063,11.199832293920783,8.676120779419037
5.65,3.1395213085530087,11.302276710790832,8.83238542528509
5.7,3.1678265864143187,11.404175711091547,8.990069122659273
5.75,3.1965374163647593,11.507534698913133,9.14917822272875
5.8,3.224927087566628,11.60973751523986,9.309714835327036
5.85,3.253070252657407,11.711052909566666,9.471664768832637
5.8999999999999995,3.2813550242725045,11.812878087381016,9.635025400755884
5.95,3.3093592360155735,11.913693249656065,9.799793257263087
