run_id,travel_time_raw_s,end_dist_m,mass_median_run,n_points_raw
07/0850704|50704|5012|UP,114.5,1620.4302,215.54,2291
07/0850706|50706|5012|UP,114.5,1620.7794,215.24,2291
07/0850708|50708|5012|UP,114.6,1620.6638,215.24,2293
07/0850710|50710|5012|UP,114.65,1620.78,215.24,2294
07/0850712|50712|5012|UP,114.4,1620.527,215.54,2289
07/0850714|50714|5012|UP,114.45,1620.9023,215.44,2290
07/0850716|50716|5012|UP,114.6,1620.5812,215.34,2293
07/0951902|51902|5012|UP,114.25,1620.3753,215.34,2286
07/0951904|51904|5012|UP,114.35,1620.803,215.64,2288
07/0951906|51906|5012|UP,114.7,1620.6007,215.24,2295
07/0951908|51908|5012|UP,114.45,1620.6681,215.24,2290
07/0951910|51910|5012|UP,114.6,1621.4058,215.44,2293
07/0951912|51912|5012|UP,114.3,1620.5584,215.84,2287
07/0951914|51914|5012|UP,114.3,1620.698,216.32,2287
07/0951916|51916|5012|UP,114.4,1621.0706,215.34,2289
07/1050304|50304|5012|UP,114.5,1621.2751,215.34,2291
07/1053002|53002|5012|UP,115.05,1620.4337,215.84,2302
07/1053004|53004|5012|UP,114.95,1620.7232,215.44,2300
07/1053006|53006|5012|UP,115.0,1620.5636,215.24,2301
07/1251002|51002|5012|UP,114.5,1620.6199,215.24,2291
07/1251004|51004|5012|UP,114.45,1620.5658,215.34,2290
07/1251006|51006|5012|UP,114.4,1620.5643,215.24,2289
07/1251008|51008|5012|UP,114.45,1620.6514,215.54,2290
07/1251012|51012|5012|UP,114.5,1620.8867,216.04,2291
07/1251014|51014|5012|UP,114.45,1620.6745,215.24,2290
07/1251016|51016|5012|UP,114.5,1621.5967,215.24,2291
07/1251510|51510|5012|UP,114.6,1621.2306,215.44,2293
