station_pair,status,message,output_dir
布政-张家潭,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\布政-张家潭
张家潭-同德路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\张家潭-同德路
同德路-石碶,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\同德路-石碶
石碶-雅渡,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\石碶-雅渡
雅渡-庙堰,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\雅渡-庙堰
庙堰-钟公庙,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\庙堰-钟公庙
钟公庙-鄞州区政府,success,"完成等级提取: ['class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\钟公庙-鄞州区政府
鄞州区政府-钱湖南路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\鄞州区政府-钱湖南路
钱湖南路-南高教园区,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\钱湖南路-南高教园区
南高教园区-下应路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\南高教园区-下应路
下应路-大洋江,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\下应路-大洋江
大洋江-泗港,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\大洋江-泗港
泗港-曹隘,success,"完成等级提取: ['class1', 'class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\泗港-曹隘
曹隘-柳隘,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\曹隘-柳隘
柳隘-海晏北路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\柳隘-海晏北路
海晏北路-民安东路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\海晏北路-民安东路
民安东路-会展中心,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\民安东路-会展中心
会展中心-院士路,success,完成等级提取: ['class3'],D:\energy_conservation\output\ato_phase_results_v3\会展中心-院士路
院士路-盎孟港,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\院士路-盎孟港
盎孟港-三官堂,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\盎孟港-三官堂
三官堂-兴庄路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\三官堂-兴庄路
兴庄路-兴海南路,success,"完成等级提取: ['class2', 'class3']",D:\energy_conservation\output\ato_phase_results_v3\兴庄路-兴海南路
兴海南路-梅堰,success,完成等级提取: ['class3'],D:\energy_conservation\output\ato_phase_results_v3\兴海南路-梅堰
梅堰-永茂路,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\梅堰-永茂路
永茂路-镇海大道,success,"完成等级提取: ['class2', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\永茂路-镇海大道
镇海大道-骆驼桥,success,"完成等级提取: ['class2', 'class3', 'class4']",D:\energy_conservation\output\ato_phase_results_v3\镇海大道-骆驼桥
