section,run_class,trip_count,avg_duration_s,avg_distance_m,avg_real_energy_wh,avg_mlp_energy_wh,avg_signed_error_wh,avg_abs_error_wh,rmse_total_error_wh,avg_error_pct,avg_abs_error_pct,median_abs_error_pct,max_abs_error_pct,weighted_error_pct,real_energy_sum_wh,mlp_energy_sum_wh
布政-张家潭,3,89.0,116.518,1437.462,13938.017,13919.763,-18.254,172.964,202.845,-0.125,1.24,1.053,3.923,-0.131,1240483.471,1238858.905
布政-张家潭,2,5.0,113.14,1432.484,15537.082,15181.367,-355.715,385.982,480.151,-2.299,2.489,2.003,5.767,-2.289,77685.41,75906.836
布政-张家潭,4,31.0,118.803,1442.495,13913.825,14022.979,109.154,308.798,343.892,0.822,2.227,2.311,4.104,0.784,431328.564,434712.335
张家潭-同德路,3,110.0,151.096,2035.714,17590.18,17648.045,57.864,222.317,285.575,0.342,1.261,1.017,4.576,0.329,1934919.817,1941284.912
张家潭-同德路,2,13.0,147.573,2030.609,17894.448,17538.469,-355.979,363.158,447.297,-1.973,2.015,1.958,4.283,-1.989,232627.828,228000.098
张家潭-同德路,4,2.0,157.275,2036.207,13628.463,13647.546,19.084,294.219,294.837,0.083,2.157,2.157,2.24,0.14,27256.925,27295.093
同德路-石碶,3,73.0,110.057,1340.201,13138.842,13254.486,115.644,185.749,231.07,0.912,1.427,0.989,3.429,0.88,959135.445,967577.453
同德路-石碶,2,42.0,105.238,1339.345,15346.789,15349.437,2.648,209.582,289.388,-0.019,1.399,1.176,6.8,0.017,644565.117,644676.341
同德路-石碶,4,9.0,111.783,1345.01,13363.118,13640.876,277.758,293.592,338.966,2.087,2.202,2.856,3.537,2.079,120268.063,122767.888
同德路-石碶,1,1.0,101.45,1352.552,12954.366,12654.161,-300.205,300.205,300.205,-2.317,2.317,2.317,2.317,-2.317,12954.366,12654.161
石碶-雅渡,2,39.0,78.914,833.694,12538.085,12583.274,45.189,116.593,138.972,0.362,0.929,0.971,2.298,0.36,488985.304,490747.669
石碶-雅渡,3,73.0,82.519,832.577,12664.449,12705.763,41.314,132.626,160.013,0.337,1.041,0.894,3.068,0.326,924504.777,927520.718
石碶-雅渡,4,10.0,84.77,835.364,12112.105,12261.313,149.207,192.83,253.343,1.348,1.684,0.98,5.138,1.232,121121.054,122613.126
石碶-雅渡,1,3.0,75.383,831.616,11952.545,11128.953,-823.592,823.592,827.117,-6.912,6.912,6.8,7.95,-6.891,35857.634,33386.859
雅渡-庙堰,3,77.0,132.527,1873.889,20849.972,20940.487,90.515,245.048,284.296,0.444,1.176,1.077,2.679,0.434,1605447.855,1612417.525
雅渡-庙堰,2,35.0,129.63,1869.058,21537.787,21336.459,-201.328,299.839,330.419,-0.948,1.408,1.265,3.876,-0.935,753822.543,746776.05
雅渡-庙堰,1,1.0,125.55,1860.449,18915.201,17998.147,-917.054,917.054,917.054,-4.848,4.848,4.848,4.848,-4.848,18915.201,17998.147
雅渡-庙堰,4,12.0,136.704,1884.914,19152.229,19351.588,199.359,213.661,239.584,1.056,1.13,1.09,2.871,1.041,229826.747,232219.055
