section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
布政-张家潭,0,2351,117.5,1427.842,13559.418,13027.47,-3.923,3,0,70100,07/0170100,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_0_07_0170100.jpg
布政-张家潭,1,2271,113.5,1428.479,15863.828,15939.495,0.477,2,0,70101,07/0170101,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_1_07_0170101.jpg
布政-张家潭,2,2350,117.45,1428.316,13422.513,13475.558,0.395,3,0,70102,07/0170102,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_2_07_0170102.jpg
布政-张家潭,3,2352,117.55,1428.844,14208.105,14373.143,1.162,3,0,70103,07/0170103,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_3_07_0170103.jpg
布政-张家潭,4,2327,116.3,1428.646,13108.532,12989.423,-0.909,3,0,70104,07/0170104,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_4_07_0170104.jpg
布政-张家潭,5,2347,117.3,1428.447,13157.574,13210.286,0.401,3,0,70105,07/0170105,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_5_07_0170105.jpg
布政-张家潭,6,2354,117.65,1428.573,14089.183,14062.129,-0.192,3,0,70106,07/0170106,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_6_07_0170106.jpg
布政-张家潭,7,2327,116.3,1429.832,13153.353,13015.596,-1.047,3,1,70107,07/0170107,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_7_07_0170107.jpg
布政-张家潭,8,2335,116.7,1428.13,13263.136,13113.53,-1.128,3,0,70208,07/0270208,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_8_07_0270208.jpg
布政-张家潭,9,2352,117.55,1428.41,13943.571,13751.823,-1.375,3,0,70209,07/0270209,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_9_07_0270209.jpg
布政-张家潭,10,2329,116.4,1428.511,13041.163,12894.55,-1.124,3,0,70210,07/0270210,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_10_07_0270210.jpg
布政-张家潭,11,2327,116.3,1427.978,12741.006,12627.451,-0.891,3,0,70211,07/0270211,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_11_07_0270211.jpg
布政-张家潭,12,2268,113.35,1428.649,16012.072,15772.98,-1.493,2,0,70212,07/0270212,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_12_07_0270212.jpg
布政-张家潭,13,2279,113.9,1428.138,15986.798,15818.491,-1.053,3,0,70213,07/0270213,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_13_07_0270213.jpg
布政-张家潭,14,2350,117.45,1428.374,13074.527,13115.251,0.311,3,1,70214,07/0270214,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_14_07_0270214.jpg
布政-张家潭,15,2338,116.85,1428.241,13750.968,13263.165,-3.547,3,0,70315,07/0370315,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_15_07_0370315.jpg
布政-张家潭,16,2320,115.95,1427.817,13033.972,12752.812,-2.157,3,0,70316,07/0370316,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_16_07_0370316.jpg
布政-张家潭,17,2329,116.4,1427.897,12920.737,12780.755,-1.083,3,0,70317,07/0370317,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_17_07_0370317.jpg
布政-张家潭,18,2323,116.1,1428.442,14346.184,14097.592,-1.733,3,0,70318,07/0370318,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_18_07_0370318.jpg
布政-张家潭,19,2330,116.45,1428.08,13319.016,13201.617,-0.881,3,0,70319,07/0370319,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_19_07_0370319.jpg
布政-张家潭,20,2318,115.85,1428.109,13232.206,13069.863,-1.227,3,0,70320,07/0370320,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_20_07_0370320.jpg
布政-张家潭,21,2348,117.35,1428.649,14300.658,14130.153,-1.192,3,0,70321,07/0370321,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_21_07_0370321.jpg
布政-张家潭,22,2247,112.3,1426.428,13751.421,13379.232,-2.707,2,1,70322,07/0370322,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_22_07_0370322.jpg
布政-张家潭,23,2337,116.8,1428.534,13101.882,12994.091,-0.823,3,0,70423,07/0470423,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_23_07_0470423.jpg
布政-张家潭,24,2334,116.65,1428.27,13539.041,13245.19,-2.17,3,0,70424,07/0470424,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_24_07_0470424.jpg
布政-张家潭,25,2283,114.1,1427.539,15964.229,15696.498,-1.677,3,0,70425,07/0470425,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_25_07_0470425.jpg
布政-张家潭,26,2403,120.1,1428.059,15084.66,14612.095,-3.133,4,0,70526,07/0570526,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_26_07_0570526.jpg
布政-张家潭,27,2358,117.85,1428.837,14073.769,13948.307,-0.891,3,0,70527,07/0570527,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_27_07_0570527.jpg
布政-张家潭,28,2329,116.4,1427.934,13389.765,13254.022,-1.014,3,0,70528,07/0570528,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_28_07_0570528.jpg
布政-张家潭,29,2367,118.3,1428.842,14067.717,14034.122,-0.239,4,0,70529,07/0570529,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_29_07_0570529.jpg
布政-张家潭,30,2355,117.7,1428.078,13152.121,13223.622,0.544,3,0,70530,07/0570530,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_30_07_0570530.jpg
布政-张家潭,31,2338,116.85,1428.205,13372.608,13325.663,-0.351,3,0,70531,07/0570531,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_31_07_0570531.jpg
布政-张家潭,32,2398,119.85,1428.702,13230.349,13505.101,2.077,4,1,70532,07/0570532,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_32_07_0570532.jpg
布政-张家潭,33,2364,118.15,1428.624,14500.537,13905.498,-4.104,4,0,70633,07/0670633,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_33_07_0670633.jpg
布政-张家潭,34,2354,117.65,1428.427,14000.412,13864.529,-0.971,3,0,70634,07/0670634,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_34_07_0670634.jpg
布政-张家潭,35,2331,116.5,1428.127,13342.182,13213.138,-0.967,3,0,70635,07/0670635,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_35_07_0670635.jpg
布政-张家潭,36,2381,119.0,1428.515,14116.833,14133.665,0.119,4,0,70636,07/0670636,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_36_07_0670636.jpg
布政-张家潭,37,2379,118.9,1428.202,14062.105,14053.885,-0.058,4,0,70637,07/0670637,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_37_07_0670637.jpg
布政-张家潭,38,2353,117.6,1429.219,14333.064,14223.108,-0.767,3,0,70638,07/0670638,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_38_07_0670638.jpg
布政-张家潭,39,2380,118.95,1428.567,14175.86,14106.889,-0.487,4,0,70639,07/0670639,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_39_07_0670639.jpg
布政-张家潭,40,2348,117.35,1429.264,13056.355,12869.726,-1.429,3,1,70640,07/0670640,results_布政-张家潭.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\布政-张家潭\triple_axis_mlp\seg_40_07_0670640.jpg
