section,segment,rows,duration_s,distance_m,real_energy_wh,mlp_energy_wh,mlp_error_pct,run_class,quality_label,service_no,date_service,source_file,figure
雅渡-庙堰,0,2679,133.9,1859.094,20522.665,20186.354,-1.639,3,0,70100,07/0170100,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_0_07_0170100.jpg
雅渡-庙堰,1,2577,128.8,1860.587,22674.86,22278.407,-1.748,2,0,70101,07/0170101,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_1_07_0170101.jpg
雅渡-庙堰,2,2629,131.4,1860.185,21037.347,20960.137,-0.367,3,0,70102,07/0170102,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_2_07_0170102.jpg
雅渡-庙堰,3,2642,132.05,1860.248,20638.427,20568.247,-0.34,3,0,70103,07/0170103,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_3_07_0170103.jpg
雅渡-庙堰,4,2601,130.0,1860.463,21102.915,20936.818,-0.787,2,0,70104,07/0170104,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_4_07_0170104.jpg
雅渡-庙堰,5,2674,133.65,1860.466,20940.582,20905.57,-0.167,3,0,70105,07/0170105,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_5_07_0170105.jpg
雅渡-庙堰,6,2618,130.85,1860.796,21156.42,21040.442,-0.548,3,0,70106,07/0170106,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_6_07_0170106.jpg
雅渡-庙堰,7,2619,130.9,1860.998,21344.766,21107.65,-1.111,3,1,70107,07/0170107,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_7_07_0170107.jpg
雅渡-庙堰,8,2581,129.0,1860.203,22390.617,22206.668,-0.822,2,0,70208,07/0270208,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_8_07_0270208.jpg
雅渡-庙堰,9,2602,130.05,1861.245,21366.445,21199.679,-0.781,2,0,70209,07/0270209,results_雅渡-庙堰.xlsx,D:\energy_conservation\output\models\nn_results_mlp_legacy_compare\雅渡-庙堰\triple_axis_mlp\seg_9_07_0270209.jpg
