trip_no,comparison,primary,reference,primary_duration_s,reference_duration_s,duration_difference_s,primary_distance_km,reference_distance_km,primary_energy_kwh,reference_energy_kwh,energy_difference_kwh,energy_error_pct,error_formula,energy_profile_note,plot,max_mass_t,target_time_s,target_run_time_s,target_dwell_time_s
1,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3771.0,3771.0,0.0,36.5041,36.5041,396.8041388888889,399.8785,-3.074361111111102,-0.7688238080094585,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_01_standard_dp_vs_ot_history.png,219.2,3770.7,3002.7,768.0
1,02_dwell5_dp_vs_ot_history,OT Dwell 5% DP,OT History,3771.0,3771.0,0.0,36.5041,36.5041,380.2124722222222,399.8785,-19.6660277777778,-4.918000787183558,(OT Dwell 5% DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_02_dwell5_dp_vs_ot_history.png,219.2,3770.7,3002.7,768.0
1,03_standard_dp_vs_dwell5_dp,OT Standard DP,OT Dwell 5% DP,3771.0,3771.0,0.0,36.5041,36.5041,396.8041388888889,380.2124722222222,16.591666666666697,4.363788112918451,(OT Standard DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_03_standard_dp_vs_dwell5_dp.png,219.2,3770.7,3002.7,768.0
1,04_standard_dp_vs_real_history,OT Standard DP,Real History,3771.0,3770.7,0.3000000000001819,36.5041,36.517050555555564,396.8041388888889,424.847917881375,-28.043778992486125,-6.600898300816538,(OT Standard DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_04_standard_dp_vs_real_history.png,219.2,3770.7,3002.7,768.0
1,05_dwell5_dp_vs_real_history,OT Dwell 5% DP,Real History,3771.0,3770.7,0.3000000000001819,36.5041,36.517050555555564,380.2124722222222,424.847917881375,-44.63544565915282,-10.506217349902565,(OT Dwell 5% DP - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_05_dwell5_dp_vs_real_history.png,219.2,3770.7,3002.7,768.0
1,06_ot_history_vs_real_history,OT History,Real History,3771.0,3770.7,0.3000000000001819,36.5041,36.517050555555564,399.8785,424.847917881375,-24.969417881375023,-5.87726026901394,(OT History - Real History) / Real History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_06_ot_history_vs_real_history.png,219.2,3770.7,3002.7,768.0
1,07_energy_first_vs_standard_dp,OT Energy-first DP,OT Standard DP,3771.0,3771.0,0.0,36.5041,36.5041,394.46536111111106,396.8041388888889,-2.338777777777807,-0.5894035743494853,(OT Energy-first DP - OT Standard DP) / OT Standard DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_07_energy_first_vs_standard_dp.png,219.2,3770.7,3002.7,768.0
1,08_energy_first_vs_dwell5_dp,OT Energy-first DP,OT Dwell 5% DP,3771.0,3771.0,0.0,36.5041,36.5041,394.46536111111106,380.2124722222222,14.25288888888889,3.7486642154543857,(OT Energy-first DP - OT Dwell 5% DP) / OT Dwell 5% DP * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_08_energy_first_vs_dwell5_dp.png,219.2,3770.7,3002.7,768.0
1,09_energy_first_vs_ot_history,OT Energy-first DP,OT History,3771.0,3771.0,0.0,36.5041,36.5041,394.46536111111106,399.8785,-5.413138888888909,-1.3536959073540862,(OT Energy-first DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip001\trip001_09_energy_first_vs_ot_history.png,219.2,3770.7,3002.7,768.0
3,01_standard_dp_vs_ot_history,OT Standard DP,OT History,3810.0,3810.0,0.0,36.5041,36.5037,383.62061111111115,391.3670833333333,-7.746472222222167,-1.97933667702564,(OT Standard DP - OT History) / OT History * 100%,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip003\trip003_01_standard_dp_vs_ot_history.png,216.94,3810.4,3024.4,786.0
