trip_no,section_index,站间区间,区间载重(t),全局趟次ID,历史segment,历史来源run_id,OT 历史区间里程(km),OT 历史机械能(kWh),OT 标准 DP区间里程(km),OT 标准 DP机械能(kWh),OT 停站宽松 5% DP区间里程(km),OT 停站宽松 5% DP机械能(kWh),OT Energy First DP区间里程(km),OT Energy First DP机械能(kWh),真实历史区间里程(km),真实历史能耗(kWh),标准 DP vs OpenTrack 历史图像路径,停站宽松 5% DP vs OpenTrack 历史图像路径,Energy First DP vs OpenTrack 历史图像路径,四源总览图像路径,OpenTrack历史 vs 真实历史图像路径
10,1,布政-张家潭,215.24,UP010_20240702_094840_R494,9.0,494.0,1.428,13.03025,1.428,13.42766667,1.428,13.42766667,1.428,13.42766667,1.42841,13.94340452,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\01_布政-张家潭_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\01_布政-张家潭_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\01_布政-张家潭_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\01_布政-张家潭_energy_distance.png
10,2,张家潭-同德路,215.24,UP010_20240702_094840_R494,9.0,495.0,2.017,17.01330556,2.017,16.61519444,2.017,16.61519444,2.017,18.08505556,2.021235,17.92066329,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\02_张家潭-同德路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\02_张家潭-同德路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\02_张家潭-同德路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\02_张家潭-同德路_energy_distance.png
10,3,同德路-石碶,215.24,UP010_20240702_094840_R494,9.0,496.0,1.331,12.11133333,1.331,12.97044444,1.331,12.97044444,1.331,12.97044444,1.330516,12.94118305,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\03_同德路-石碶_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\03_同德路-石碶_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\03_同德路-石碶_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\03_同德路-石碶_energy_distance.png
10,4,石碶-雅渡,215.24,UP010_20240702_094840_R494,9.0,497.0,0.827,10.71072222,0.827,10.29736111,0.827,10.29736111,0.827,10.29733333,0.827445,13.29652095,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\04_石碶-雅渡_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\04_石碶-雅渡_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\04_石碶-雅渡_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\04_石碶-雅渡_energy_distance.png
10,5,雅渡-庙堰,215.34,UP010_20240702_094840_R494,9.0,498.0,1.86,21.11908333,1.86,21.59591667,1.86,18.70930556,1.86,21.59594444,1.861245,21.36613225,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\05_雅渡-庙堰_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\05_雅渡-庙堰_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\05_雅渡-庙堰_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\05_雅渡-庙堰_energy_distance.png
10,6,庙堰-钟公庙,215.44,UP010_20240702_094840_R494,9.0,499.0,1.086,12.93111111,1.086,12.76416667,1.086,12.76416667,1.086,12.76416667,1.087059,12.99798277,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\06_庙堰-钟公庙_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\06_庙堰-钟公庙_energy_distance.png
10,7,钟公庙-鄞州区政府,215.34,UP010_20240702_094840_R494,9.0,500.0,0.984,10.32713889,0.984,8.38655556,0.984,8.38652778,0.984,6.50144444,0.984694,10.11922625,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\07_钟公庙-鄞州区政府_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\07_钟公庙-鄞州区政府_energy_distance.png
10,8,鄞州区政府-钱湖南路,215.54,UP010_20240702_094840_R494,9.0,501.0,1.811,15.95194444,1.811,15.55766667,1.811,15.55766667,1.811,15.55766667,1.813325,16.77671197,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\08_鄞州区政府-钱湖南路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\08_鄞州区政府-钱湖南路_energy_distance.png
10,9,钱湖南路-南高教园区,215.54,UP010_20240702_094840_R494,9.0,502.0,1.155,13.56502778,1.155,13.66452778,1.155,13.66452778,1.155,12.37438889,1.169206,13.82339931,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\09_钱湖南路-南高教园区_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\09_钱湖南路-南高教园区_energy_distance.png
10,10,南高教园区-下应路,215.54,UP010_20240702_094840_R494,9.0,503.0,1.452,17.10236111,1.452,17.33305556,1.452,17.33305556,1.452,17.33305556,1.45263,18.59393348,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\01_standard_dp_vs_ot_history\10_南高教园区-下应路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\02_dwell5_dp_vs_ot_history\10_南高教园区-下应路_energy_distance.png,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\03_energy_first_vs_ot_history\10_南高教园区-下应路_energy_distance.png,,D:\energy_conservation\output\opentrack_four_source_compare_complete10\trip010\section_energy_distance\04_ot_history_vs_real_history\10_南高教园区-下应路_energy_distance.png
