trip_no,comparison,section_index,站间区间,区间载重(t),载重来源,全局趟次ID,历史segment,历史来源run_id,归一化区间里程(km),载重里程(t·km),规划OT区间里程(km),历史OT区间里程(km),规划OT区间机械能(kWh),历史OT区间机械能(kWh),规划单位能耗[kWh/(t·km)],历史单位能耗[kWh/(t·km)],区间节能率(%)
12,standard_dp,1,布政-张家潭,215.24,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,603.0,1.42798,307.358415,1.428,1.428,13.42766667,13.03947222,0.043687324,0.0424243215,-2.977072
12,standard_dp,2,张家潭-同德路,215.24,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,604.0,2.02212,435.241109,2.017,2.017,16.61322222,16.28677778,0.0381701588,0.0374201275,-2.004353
12,standard_dp,3,同德路-石碶,215.24,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,605.0,1.33044,286.363906,1.331,1.331,12.75852778,12.51194444,0.0445535472,0.0436924633,-1.970783
12,standard_dp,4,石碶-雅渡,215.34,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,606.0,0.82696,178.077566,0.827,0.827,10.11969444,11.37130556,0.0568274525,0.0638559128,11.006749
12,standard_dp,5,雅渡-庙堰,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,607.0,1.86177,401.285906,1.86,1.86,18.6555,19.91736111,0.0464892979,0.0496338417,6.335483
12,standard_dp,6,庙堰-钟公庙,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,608.0,1.08727,234.350176,1.086,1.086,12.77519444,13.16097222,0.0545132702,0.0561594297,2.931226
12,standard_dp,7,钟公庙-鄞州区政府,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,609.0,0.98468,212.237927,0.984,0.984,8.39022222,10.33166667,0.0395321531,0.0486796437,18.791203
12,standard_dp,8,鄞州区政府-钱湖南路,215.64,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,610.0,1.81316,390.989822,1.811,1.811,15.34136111,16.13763889,0.039237239,0.0412738081,4.934289
12,standard_dp,9,钱湖南路-南高教园区,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,611.0,1.16886,251.936084,1.155,1.155,13.13261111,13.55913889,0.0521267572,0.0538197572,3.145685
12,standard_dp,10,南高教园区-下应路,215.54,traceable_standard_plan_MASS,UP012_20240702_141702_R603,11.0,612.0,1.45212,312.989945,1.452,1.452,17.01963889,17.59561111,0.05437759,0.056217816,3.273386
