message,trainID,stationID,time,delay,received_at
trainDeparture,priority_dp1,STA_1,28800.0,0.0,2026-07-02T16:51:50
trainDeparture,priority_dp1,STA_1,28800.0,0.0,2026-07-02T16:53:02
trainArrival,priority_dp1,STA_2,28900.0,-15.0,2026-07-02T16:52:06
trainArrival,priority_dp1,STA_2,28900.0,-15.0,2026-07-02T16:55:23
trainDeparture,priority_dp1,STA_2,28943.0,0.0,2026-07-02T16:52:06
trainDeparture,priority_dp1,STA_2,28943.0,0.0,2026-07-02T16:55:23
trainPass,priority_dp1,STA_2,28944.0,0.0,2026-07-02T16:52:06
trainPass,priority_dp1,STA_2,28944.0,0.0,2026-07-02T16:55:23
trainArrival,priority_dp1,STA_3,29069.0,-22.0,2026-07-02T16:52:06
trainArrival,priority_dp1,STA_3,29069.0,-22.0,2026-07-02T16:55:23
trainDeparture,priority_dp1,STA_3,29118.0,0.0,2026-07-02T16:52:06
trainDeparture,priority_dp1,STA_3,29118.0,0.0,2026-07-02T16:55:23
trainPass,priority_dp1,STA_3,29119.0,0.0,2026-07-02T16:52:06
trainPass,priority_dp1,STA_3,29119.0,0.0,2026-07-02T16:55:23
trainArrival,priority_dp1,STA_4,29213.0,-14.0,2026-07-02T16:52:06
trainArrival,priority_dp1,STA_4,29213.0,-14.0,2026-07-02T16:55:23
trainDeparture,priority_dp1,STA_4,29255.0,0.0,2026-07-02T16:52:06
trainDeparture,priority_dp1,STA_4,29255.0,0.0,2026-07-02T16:55:23
trainPass,priority_dp1,STA_4,29256.0,0.0,2026-07-02T16:52:06
trainPass,priority_dp1,STA_4,29256.0,0.0,2026-07-02T16:55:23
trainArrival,priority_dp1,STA_5,29328.0,-7.0,2026-07-02T16:52:06
trainArrival,priority_dp1,STA_5,29328.0,-7.0,2026-07-02T16:55:24
trainDeparture,priority_dp1,STA_5,29362.0,0.0,2026-07-02T16:52:06
trainDeparture,priority_dp1,STA_5,29362.0,0.0,2026-07-02T16:55:24
trainPass,priority_dp1,STA_5,29363.0,0.0,2026-07-02T16:52:06
trainPass,priority_dp1,STA_5,29363.0,0.0,2026-07-02T16:55:24
trainArrival,priority_dp1,STA_6,29481.0,-20.0,2026-07-02T16:52:06
trainArrival,priority_dp1,STA_6,29481.0,-20.0,2026-07-02T16:55:24
