message,trainID,stationID,time,delay,received_at
trainDeparture,priority_history,STA_1,28800.0,0.0,2026-07-02T15:05:03
trainDeparture,priority_history,STA_1,28800.0,0.0,2026-07-02T15:10:48
trainDeparture,priority_history,STA_1,28800.0,0.0,2026-07-02T15:11:31
trainArrival,priority_history,STA_2,28909.0,-9.0,2026-07-02T15:05:03
trainArrival,priority_history,STA_2,28909.0,-9.0,2026-07-02T15:10:48
trainArrival,priority_history,STA_2,28909.0,-9.0,2026-07-02T15:11:31
trainDeparture,priority_history,STA_2,28948.0,0.0,2026-07-02T15:05:03
trainDeparture,priority_history,STA_2,28948.0,0.0,2026-07-02T15:10:48
trainDeparture,priority_history,STA_2,28948.0,0.0,2026-07-02T15:11:31
trainPass,priority_history,STA_2,28949.0,0.0,2026-07-02T15:05:03
trainPass,priority_history,STA_2,28949.0,0.0,2026-07-02T15:10:48
trainPass,priority_history,STA_2,28949.0,0.0,2026-07-02T15:11:32
trainArrival,priority_history,STA_3,29088.0,-10.0,2026-07-02T15:05:03
trainArrival,priority_history,STA_3,29088.0,-10.0,2026-07-02T15:10:48
trainArrival,priority_history,STA_3,29088.0,-10.0,2026-07-02T15:11:32
trainDeparture,priority_history,STA_3,29128.0,0.0,2026-07-02T15:05:03
trainDeparture,priority_history,STA_3,29128.0,0.0,2026-07-02T15:10:48
trainDeparture,priority_history,STA_3,29128.0,0.0,2026-07-02T15:11:32
trainPass,priority_history,STA_3,29129.0,0.0,2026-07-02T15:05:03
trainPass,priority_history,STA_3,29129.0,0.0,2026-07-02T15:10:48
trainPass,priority_history,STA_3,29129.0,0.0,2026-07-02T15:11:32
trainArrival,priority_history,STA_4,29231.0,-8.0,2026-07-02T15:05:03
trainArrival,priority_history,STA_4,29231.0,-8.0,2026-07-02T15:10:49
trainArrival,priority_history,STA_4,29231.0,-8.0,2026-07-02T15:11:32
trainDeparture,priority_history,STA_4,29269.0,0.0,2026-07-02T15:05:03
trainDeparture,priority_history,STA_4,29269.0,0.0,2026-07-02T15:10:49
trainDeparture,priority_history,STA_4,29269.0,0.0,2026-07-02T15:11:32
trainPass,priority_history,STA_4,29270.0,0.0,2026-07-02T15:05:03
trainPass,priority_history,STA_4,29270.0,0.0,2026-07-02T15:10:49
trainPass,priority_history,STA_4,29270.0,0.0,2026-07-02T15:11:32
trainArrival,priority_history,STA_5,29346.0,-2.0,2026-07-02T15:05:04
trainArrival,priority_history,STA_5,29346.0,-2.0,2026-07-02T15:10:49
trainArrival,priority_history,STA_5,29346.0,-2.0,2026-07-02T15:11:32
trainDeparture,priority_history,STA_5,29378.0,0.0,2026-07-02T15:05:04
trainDeparture,priority_history,STA_5,29378.0,0.0,2026-07-02T15:10:49
trainDeparture,priority_history,STA_5,29378.0,0.0,2026-07-02T15:11:32
trainPass,priority_history,STA_5,29379.0,0.0,2026-07-02T15:05:04
trainPass,priority_history,STA_5,29379.0,0.0,2026-07-02T15:10:49
trainPass,priority_history,STA_5,29379.0,0.0,2026-07-02T15:11:32
trainArrival,priority_history,STA_6,29509.0,-3.0,2026-07-02T15:05:04
trainArrival,priority_history,STA_6,29509.0,-3.0,2026-07-02T15:10:50
trainArrival,priority_history,STA_6,29509.0,-3.0,2026-07-02T15:11:32
trainDeparture,priority_history,STA_6,29542.0,0.0,2026-07-02T15:05:04
trainDeparture,priority_history,STA_6,29542.0,0.0,2026-07-02T15:10:50
trainDeparture,priority_history,STA_6,29542.0,0.0,2026-07-02T15:11:32
trainPass,priority_history,STA_6,29543.0,0.0,2026-07-02T15:05:04
trainPass,priority_history,STA_6,29543.0,0.0,2026-07-02T15:10:50
trainPass,priority_history,STA_6,29543.0,0.0,2026-07-02T15:11:32
trainArrival,priority_history,STA_7,29632.0,-6.0,2026-07-02T15:05:04
trainArrival,priority_history,STA_7,29632.0,-6.0,2026-07-02T15:10:50
trainArrival,priority_history,STA_7,29632.0,-6.0,2026-07-02T15:11:33
trainDeparture,priority_history,STA_7,29668.0,0.0,2026-07-02T15:05:04
trainDeparture,priority_history,STA_7,29668.0,0.0,2026-07-02T15:10:50
trainDeparture,priority_history,STA_7,29668.0,0.0,2026-07-02T15:11:33
trainPass,priority_history,STA_7,29669.0,0.0,2026-07-02T15:05:04
trainPass,priority_history,STA_7,29669.0,0.0,2026-07-02T15:10:50
trainPass,priority_history,STA_7,29669.0,0.0,2026-07-02T15:11:33
trainArrival,priority_history,STA_8,29753.0,-6.0,2026-07-02T15:05:04
trainArrival,priority_history,STA_8,29753.0,-6.0,2026-07-02T15:10:50
trainArrival,priority_history,STA_8,29753.0,-6.0,2026-07-02T15:11:33
trainDeparture,priority_history,STA_8,29789.0,0.0,2026-07-02T15:05:04
trainDeparture,priority_history,STA_8,29789.0,0.0,2026-07-02T15:10:50
trainDeparture,priority_history,STA_8,29789.0,0.0,2026-07-02T15:11:33
trainPass,priority_history,STA_8,29790.0,0.0,2026-07-02T15:05:04
trainPass,priority_history,STA_8,29790.0,0.0,2026-07-02T15:10:50
trainPass,priority_history,STA_8,29790.0,0.0,2026-07-02T15:11:33
trainArrival,priority_history,STA_9,29918.0,2.0,2026-07-02T15:05:04
trainArrival,priority_history,STA_9,29918.0,2.0,2026-07-02T15:10:50
trainArrival,priority_history,STA_9,29918.0,2.0,2026-07-02T15:11:33
trainDeparture,priority_history,STA_9,29948.0,2.0,2026-07-02T15:05:04
trainDeparture,priority_history,STA_9,29948.0,2.0,2026-07-02T15:10:50
trainDeparture,priority_history,STA_9,29948.0,2.0,2026-07-02T15:11:33
trainPass,priority_history,STA_9,29949.0,0.0,2026-07-02T15:05:04
