send_order,section,trip_no,run_id_filter,selection_mode,global_trip_id,traceability_segment,traceability_source_run_id,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,1,,traceability,UP001_20240701_055954_R1,0,1,07/0170100,0,0,2351,cruise-avg,64.01,43.73,64.01,1050,65.25,65,64.51,0,64.01,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""64.01"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,1,,traceability,UP001_20240701_055954_R1,0,2,07/0170100,0,0,3018,cruise-avg,63.51,48.17,63.51,1770,65.64,65.33,64.43,0,63.51,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""63.51"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,1,,traceability,UP001_20240701_055954_R1,0,3,07/0170100,0,0,2220,cruise-avg,66.75,43.13,66.75,884,68.56,68.33,67.36,0,66.75,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""66.75"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,1,,traceability,UP001_20240701_055954_R1,0,4,07/0170100,0,0,1576,cruise-avg,71.13,37.83,71.13,282,72.47,72.37,72.13,0,71.13,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""71.13"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,1,,traceability,UP001_20240701_055954_R1,0,5,07/0170100,0,0,2679,cruise-avg,71.36,49.96,71.36,1288,72.83,72.61,71.99,0,71.36,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""71.36"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,1,,traceability,UP001_20240701_055954_R1,0,6,07/0170100,0,0,1930,cruise-avg,66.13,40.54,66.13,609,68.3,68.08,66.52,0,66.13,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""66.13"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,1,,traceability,UP001_20240701_055954_R1,0,7,07/0170100,0,0,1815,cruise-avg,64.53,39.08,64.53,556,67.16,67.01,64.68,0,64.53,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""64.53"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,1,,traceability,UP001_20240701_055954_R1,0,8,07/0170100,0,0,2546,cruise-avg,77.19,51.22,77.19,1056,77.61,77.58,77.53,0,77.19,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""77.19"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,1,,traceability,UP001_20240701_055954_R1,0,9,07/0170100,0,0,1947,cruise-avg,76.71,43.2,76.71,459,77.65,77.52,77.42,0,76.71,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""76.71"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,1,,traceability,UP001_20240701_055954_R1,0,10,07/0170100,0,0,2217,cruise-avg,77.11,47.17,77.11,714,77.69,77.64,77.6,0,77.11,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""77.11"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
11,下应路-大洋江,1,,traceability,UP001_20240701_055954_R1,0,11,07/0170100,0,0,2112,cruise-avg,64.86,41.37,64.86,779,65.85,65.77,65.46,0,64.86,single-route,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""64.86"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" endRouteOffset=""999999""/>",
12,大洋江-泗港,1,,traceability,UP001_20240701_055954_R1,0,12,07/0170100,0,0,1829,cruise-avg,61.09,37.73,61.09,613,63.27,63.11,61.74,0,61.09,single-route,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""61.09"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""999999""/>",
13,泗港-曹隘,1,,traceability,UP001_20240701_055954_R1,0,13,07/0170100,0,0,2697,cruise-avg,76.85,48.03,76.85,909,77.8,77.58,77.5,0,76.85,single-route,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""76.85"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""999999""/>",
14,曹隘-柳隘,1,,traceability,UP001_20240701_055954_R1,0,14,07/0170100,0,0,2121,cruise-avg,73.46,44.35,73.46,458,75.63,75.28,74.64,0,73.46,single-route,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""73.46"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""999999""/>",
15,柳隘-海晏北路,1,,traceability,UP001_20240701_055954_R1,0,15,07/0170100,0,0,1789,cruise-avg,72.12,39.47,72.12,137,74.72,74.47,71.13,0,72.12,single-route,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""72.12"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""999999""/>",
16,海晏北路-民安东路,1,,traceability,UP001_20240701_055954_R1,0,16,07/0170100,0,0,1679,cruise-avg,71.43,37.08,71.43,233,72.99,72.92,72.75,0,71.43,single-route,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""71.43"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""999999""/>",
17,民安东路-会展中心,1,,traceability,UP001_20240701_055954_R1,0,17,07/0170100,0,0,1533,cruise-avg,66.42,34.07,66.42,201,67.96,67.86,67.56,0,66.42,single-route,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""66.42"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""999999""/>",
18,会展中心-院士路,1,,traceability,UP001_20240701_055954_R1,0,18,07/0170100,0,0,2299,cruise-avg,76.89,48.59,76.89,825,77.53,77.45,77.41,0,76.89,single-route,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""76.89"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""999999""/>",
19,院士路-盎孟港,1,,traceability,UP001_20240701_055954_R1,0,19,07/0170100,0,0,1818,cruise-avg,75.78,39.4,75.78,256,77.59,77.5,77.39,0,75.78,single-route,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""75.78"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""999999""/>",
20,盎孟港-三官堂,1,,traceability,UP001_20240701_055954_R1,0,20,07/0170100,0,0,2614,cruise-avg,76.01,51.75,76.01,1164,77.09,76.88,76.58,0,76.01,single-route,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""76.01"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""999999""/>",
21,三官堂-兴庄路,1,,traceability,UP001_20240701_055954_R1,0,21,07/0170100,0,0,2030,cruise-avg,55.36,38.3,55.36,899,56.09,56,55.9,0,55.36,single-route,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],0,editSpeed-1838-R:STA_21_[1838]-STA_22_[1908],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""55.36"" startRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" startRouteOffset=""0"" endRouteID=""editSpeed-1838-R:STA_21_[1838]-STA_22_[1908]"" endRouteOffset=""999999""/>",
22,兴庄路-兴海南路,1,,traceability,UP001_20240701_055954_R1,0,22,07/0170100,0,0,1828,cruise-avg,60.73,37.75,60.73,623,62.56,62.24,61.23,0,60.73,single-route,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],0,editSpeed-1908-R:STA_22_[1908]-STA_23_[1953],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""60.73"" startRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" startRouteOffset=""0"" endRouteID=""editSpeed-1908-R:STA_22_[1908]-STA_23_[1953]"" endRouteOffset=""999999""/>",
23,兴海南路-梅堰,1,,traceability,UP001_20240701_055954_R1,0,23,07/0170100,0,0,1647,cruise-avg,71.02,36.48,71.02,270,72.62,72.46,71.79,0,71.02,single-route,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],0,editSpeed-1953-R:STA_23_[1953]-STA_24_[1988],999999,priority_history_trip001,"<setPositionSpeed trainID=""priority_history_trip001"" speed=""71.02"" startRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" startRouteOffset=""0"" endRouteID=""editSpeed-1953-R:STA_23_[1953]-STA_24_[1988]"" endRouteOffset=""999999""/>",
