section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,0,1,07/0170100,0,2351,auto,65.25,64.995,64.515,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,1,2,07/0170101,0,2271,auto,75.59,75.463,72.69,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,2,3,07/0170102,0,2350,auto,64.57,64.3651,63.13,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,3,4,07/0170103,0,2352,auto,65.65,65.41,64.2745,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,4,5,07/0170104,0,2327,auto,64.9,64.77,64.36,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,5,6,07/0170105,0,2347,auto,64.77,64.4962,63.25,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,6,7,07/0170106,0,2354,auto,65.58,65.3294,64.41,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,7,8,07/0170107,1,2327,auto,65.52,65.24,64.51,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,8,9,07/0270208,0,2335,auto,65.57,65.3566,64.423,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,9,10,07/0270209,0,2352,auto,64.85,64.7649,64.44,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,10,11,07/0270210,0,2329,auto,65.62,65.4072,64.47,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,11,12,07/0270211,0,2327,auto,64.97,64.8274,64.437,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,12,13,07/0270212,0,2268,auto,75.66,75.55,72.8,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,13,14,07/0270213,0,2279,auto,75.65,75.58,72.763,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,14,15,07/0270214,1,2350,auto,64.74,64.5151,63.21,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,15,16,07/0370315,0,2338,auto,65.71,65.35,64.43,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,16,17,07/0370316,0,2320,auto,64.78,64.69,64.35,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,17,18,07/0370317,0,2329,auto,64.71,64.64,64.35,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,18,19,07/0370318,0,2323,auto,66.14,65.88,65.62,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,19,20,07/0370319,0,2330,auto,65.52,65.3242,64.28,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,20,21,07/0370320,0,2318,auto,65.46,65.2549,64.46,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,21,22,07/0370321,0,2348,auto,65.36,65.21,64.31,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,22,23,07/0370322,1,2247,auto,71.3,70.8562,68.641,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,23,24,07/0470423,0,2337,auto,64.51,64.2764,63.12,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,24,25,07/0470424,0,2334,auto,65.13,64.95,64.13,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,25,26,07/0470425,0,2283,auto,75.08,74.9718,72.378,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,26,27,07/0570526,0,2403,auto,64.32,64.0498,62.97,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,27,28,07/0570527,0,2358,auto,64.49,64.38,64.19,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,28,29,07/0570528,0,2329,auto,65.11,64.9216,63.966,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,29,30,07/0570529,0,2367,auto,64.09,63.8334,62.94,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,30,31,07/0570530,0,2355,auto,63.69,63.4746,62.79,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,31,32,07/0570531,0,2338,auto,65.27,65.0126,64.07,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,32,33,07/0570532,1,2398,auto,62.27,61.9206,60.66,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,33,34,07/0670633,0,2364,auto,64.28,64.02,63.19,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,34,35,07/0670634,0,2354,auto,64.31,64.23,64.16,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,35,36,07/0670635,0,2331,auto,65.21,65.017,64.07,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,36,37,07/0670636,0,2381,auto,64.12,63.798,62.85,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,37,38,07/0670637,0,2379,auto,64.05,63.8222,62.921,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,38,39,07/0670638,0,2353,auto,65.22,64.99,64.18,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,39,40,07/0670639,0,2380,auto,63.79,63.52,62.83,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,40,41,07/0670640,1,2348,auto,66.39,66.0159,64.5425,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,41,42,07/0870841,0,2337,auto,66.68,66.44,65.37,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,42,43,07/0870842,0,2347,auto,66.68,66.4016,65.427,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,43,44,07/0870843,0,2378,auto,65.53,65.1646,64.1815,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,44,45,07/0870844,0,2369,auto,65.5,65.21,64.13,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,45,46,07/0870845,0,2352,auto,65.54,65.22,64.13,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,46,47,07/0870846,0,2295,auto,68.37,68.2712,68.09,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
1,布政-张家潭,47,48,07/0870847,1,2335,auto,65.55,65.2732,64.2,data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
