send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,30,,07/0570529,29,0,2367,max,64.09,43.46,62.66,1114,64.09,63.83,62.94,0,64.09,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip030,"<setPositionSpeed trainID=""priority_history_trip030"" speed=""64.09"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,30,,07/0570529,29,0,3010,max,64.94,48.33,63.41,1766,64.94,64.64,64.02,0,64.94,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip030,"<setPositionSpeed trainID=""priority_history_trip030"" speed=""64.94"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,30,,07/0570529,29,0,2175,max,69.14,44.06,68.01,837,69.14,68.95,68.32,0,69.14,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip030,"<setPositionSpeed trainID=""priority_history_trip030"" speed=""69.14"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,30,,07/0570529,29,0,1644,max,71.63,36.27,69.82,256,71.63,71.52,70.77,0,71.63,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip030,"<setPositionSpeed trainID=""priority_history_trip030"" speed=""71.63"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,30,,07/0570529,29,0,2651,max,74.75,50.53,73.53,1202,74.75,74.6,74.06,0,74.75,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip030,"<setPositionSpeed trainID=""priority_history_trip030"" speed=""74.75"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,30,,07/0570529,29,0,1923,max,69.42,40.71,67.66,553,69.42,69.27,68.33,0,69.42,single-route,,,,,priority_history_trip030,,
7,钟公庙-鄞州区政府,30,,07/0570529,29,0,1793,max,76.03,39.58,73.32,141,76.03,75.72,72.49,0,76.03,single-route,,,,,priority_history_trip030,,
8,鄞州区政府-钱湖南路,30,,07/0570529,29,0,2646,max,71.32,49.31,70.63,1252,71.32,71.18,71.08,0,71.32,single-route,,,,,priority_history_trip030,,
9,钱湖南路-南高教园区,30,,07/0570529,29,0,2018,max,68.93,41.71,66.51,677,68.93,68.53,66.77,0,68.93,single-route,,,,,priority_history_trip030,,
10,南高教园区-下应路,30,,07/0570529,29,0,2269,max,71.21,46.11,70.37,901,71.21,71.07,70.83,0,71.21,single-route,,,,,priority_history_trip030,,
11,下应路-大洋江,30,,07/0570529,29,0,2133,max,61.77,40.98,61.22,887,61.77,61.72,61.61,0,61.77,single-route,,,,,priority_history_trip030,,
12,大洋江-泗港,30,,07/0570529,29,0,1828,max,63.11,37.75,60.58,604,63.11,62.78,61.12,0,63.11,single-route,,,,,priority_history_trip030,,
13,泗港-曹隘,30,,07/0570529,29,0,2711,max,77.33,47.8,76.55,857,77.33,77.19,77.11,0,77.33,single-route,,,,,priority_history_trip030,,
14,曹隘-柳隘,30,,07/0570529,29,0,2153,max,75.72,43.73,73.32,461,75.72,75.45,74.28,0,75.72,single-route,,,,,priority_history_trip030,,
15,柳隘-海晏北路,30,,07/0570529,29,0,1783,max,77.23,39.62,76.08,288,77.23,77.18,77.06,0,77.23,single-route,,,,,priority_history_trip030,,
16,海晏北路-民安东路,30,,07/0570529,29,0,1675,max,72.66,37.2,71.21,246,72.66,72.59,72.35,0,72.66,single-route,,,,,priority_history_trip030,,
17,民安东路-会展中心,30,,07/0570529,29,0,1553,max,67.74,33.63,66.22,195,67.74,67.68,67.46,0,67.74,single-route,,,,,priority_history_trip030,,
18,会展中心-院士路,30,,07/0570529,29,0,2314,max,77.1,48.29,76.5,835,77.1,77.04,77,0,77.1,single-route,,,,,priority_history_trip030,,
19,院士路-盎孟港,30,,07/0570529,29,0,1819,max,76.99,39.38,75.06,246,76.99,76.96,76.6,0,76.99,single-route,,,,,priority_history_trip030,,
20,盎孟港-三官堂,30,,07/0570529,29,0,2711,max,71.5,49.9,70.07,1324,71.5,70.92,70.4,0,71.5,single-route,,,,,priority_history_trip030,,
21,三官堂-兴庄路,30,,07/0570529,29,0,2090,max,54.28,37.23,52.97,960,54.28,54.2,53.29,0,54.28,single-route,,,,,priority_history_trip030,,
22,兴庄路-兴海南路,30,,07/0570529,29,0,1847,max,60.09,37.41,58.72,673,60.09,60.06,59.14,0,60.09,single-route,,,,,priority_history_trip030,,
23,兴海南路-梅堰,30,,07/0570529,29,0,1642,max,72.09,36.56,69.21,260,72.09,71.97,69.59,0,72.09,single-route,,,,,priority_history_trip030,,
24,梅堰-永茂路,30,,07/0670629,29,0,6598,max,56.72,40.11,55.66,2078,56.72,56.13,55.9,0,56.72,single-route,,,,,priority_history_trip030,,
25,永茂路-镇海大道,30,,07/0570529,29,0,2851,max,77.24,53.85,76.75,1343,77.24,77.12,77.09,0,77.24,single-route,,,,,priority_history_trip030,,
26,镇海大道-骆驼桥,30,,07/0570529,29,0,2336,max,77.31,49.21,76.79,872,77.31,77.26,77.21,0,77.31,single-route,,,,,priority_history_trip030,,
