send_order,section,trip_no,run_id_filter,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,50,,07/0970949,49,0,2317,cruise-avg,64.9,45.09,64.9,1065,66.45,66.23,65.46,0,64.9,single-route,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],0,testApiFirst5-0-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip050,"<setPositionSpeed trainID=""priority_history_trip050"" speed=""64.9"" startRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-0-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,50,,07/0970949,49,0,3037,cruise-avg,63.06,48.68,63.06,1825,64.12,64.07,64,0,63.06,single-route,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],0,testApiFirst5-5-R:STA_2_[5]-STA_3_[82],999999,priority_history_trip050,"<setPositionSpeed trainID=""priority_history_trip050"" speed=""63.06"" startRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-5-R:STA_2_[5]-STA_3_[82]"" endRouteOffset=""999999""/>",
3,同德路-石碶,50,,07/0970949,49,0,2111,cruise-avg,77.55,46.13,77.55,644,78.68,78.61,78.27,0,77.55,single-route,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],0,testApiFirst5-82-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip050,"<setPositionSpeed trainID=""priority_history_trip050"" speed=""77.55"" startRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-82-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,50,,07/0970949,49,0,1564,cruise-avg,72.09,38.67,72.09,286,73.62,73.54,73.28,0,72.09,single-route,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],0,testApiFirst5-165-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip050,"<setPositionSpeed trainID=""priority_history_trip050"" speed=""72.09"" startRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-165-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,50,,07/0970949,49,0,2661,cruise-avg,72.3,51.12,72.3,1290,73.84,73.62,72.92,0,72.3,single-route,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],0,testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip050,"<setPositionSpeed trainID=""priority_history_trip050"" speed=""72.3"" startRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""testApiFirst5-198-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",end_offset_defaulted
6,庙堰-钟公庙,50,,07/0970949,49,0,1876,cruise-avg,74.89,42.39,74.89,418,78.82,78.69,75.97,0,74.89,single-route,,,,,priority_history_trip050,,
7,钟公庙-鄞州区政府,50,,07/0970949,49,0,1793,cruise-avg,72.19,40.13,72.19,197,75.94,75.6,72.16,0,72.19,single-route,,,,,priority_history_trip050,,
8,鄞州区政府-钱湖南路,50,,07/0970949,49,0,2543,cruise-avg,76.84,52.09,76.84,1087,78.32,78.14,77.53,0,76.84,single-route,,,,,priority_history_trip050,,
9,钱湖南路-南高教园区,50,,07/0970949,49,0,1942,cruise-avg,78.1,44.05,78.1,477,78.96,78.91,78.81,0,78.1,single-route,,,,,priority_history_trip050,,
10,南高教园区-下应路,50,,07/0970949,49,0,2216,cruise-avg,77.34,47.89,77.34,723,78.89,78.71,78.16,0,77.34,single-route,,,,,priority_history_trip050,,
11,下应路-大洋江,50,,07/0970949,49,0,2033,cruise-avg,72.49,43.68,72.49,635,73.22,73.13,73.03,0,72.49,single-route,,,,,priority_history_trip050,,
12,大洋江-泗港,50,,07/0970949,49,0,1825,cruise-avg,61.67,38.4,61.67,625,63.99,63.81,62.41,0,61.67,single-route,,,,,priority_history_trip050,,
