send_order,section,trip_no,run_id_filter,selection_mode,global_trip_id,traceability_segment,traceability_source_run_id,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,67,,traceability,UP067_20240716_074738_R3654,66,3654,07/1671666,66,0,2338,cruise-avg,63.77,43.99,63.77,1066,65.1,64.91,64.08,0,63.77,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""63.77"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,67,,traceability,UP067_20240716_074738_R3654,66,3655,07/1671666,66,0,3031,cruise-avg,62.85,48.01,62.85,1795,63.82,63.62,63.48,0,62.85,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""62.85"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,67,,traceability,UP067_20240716_074738_R3654,66,3656,07/1671666,66,0,2117,cruise-avg,76.26,45.25,76.26,620,77.1,76.98,76.84,0,76.26,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""76.26"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,67,,traceability,UP067_20240716_074738_R3654,66,3657,07/1671666,66,0,1643,cruise-avg,72.79,36.26,72.79,161,74.82,74.77,73.14,0,72.79,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""72.79"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,67,,traceability,UP067_20240716_074738_R3654,66,3658,07/1671666,66,0,2602,cruise-avg,76.8,51.5,76.8,1104,77.48,77.41,77.24,0,76.8,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""76.8"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,67,,traceability,UP067_20240716_074738_R3654,66,3659,07/1671666,66,0,1894,cruise-avg,73.95,41.34,73.95,435,77.27,77.11,74.62,0,73.95,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""73.95"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,67,,traceability,UP067_20240716_074738_R3654,66,3660,07/1671666,66,0,1794,cruise-avg,69.94,39.54,69.94,400,74.52,74.26,70.95,0,69.94,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""69.94"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,67,,traceability,UP067_20240716_074738_R3654,66,3661,07/1671666,66,0,2563,cruise-avg,75.69,50.93,75.69,1086,76.68,76.47,76.19,0,75.69,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""75.69"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,67,,traceability,UP067_20240716_074738_R3654,66,3662,07/1671666,66,0,1944,cruise-avg,76.46,43.29,76.46,482,77.28,77.22,77.06,0,76.46,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""76.46"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,67,,traceability,UP067_20240716_074738_R3654,66,3663,07/1671666,66,0,2220,cruise-avg,76.76,47.13,76.76,724,77.33,77.28,77.24,0,76.76,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,priority_history_trip067,"<setPositionSpeed trainID=""priority_history_trip067"" speed=""76.76"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
