send_order,section,trip_no,run_id_filter,selection_mode,global_trip_id,traceability_segment,traceability_source_run_id,matched_run_id,matched_segment,quality_labels,row_count,method,speed_lookup_kmh,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,speed_margin_kmh,speed_limit_kmh,range_mode,startRouteID,startRouteOffset,endRouteID,endRouteOffset,trainID,otd_xml,warning
1,布政-张家潭,44,,traceability,UP044_20240708_120252_R2360,43,2360,07/0870843,43,0,2378,cruise-avg,63.68,43.93,63.68,1121,65.53,65.16,64.18,0,63.68,single-route,editSpeed-106-R:STA_1_[106]-STA_2_[110],0,editSpeed-106-R:STA_1_[106]-STA_2_[110],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""63.68"" startRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" startRouteOffset=""0"" endRouteID=""editSpeed-106-R:STA_1_[106]-STA_2_[110]"" endRouteOffset=""999999""/>",
2,张家潭-同德路,44,,traceability,UP044_20240708_120252_R2360,43,2361,07/0870843,43,0,3012,cruise-avg,64.51,49.09,64.51,1767,66.36,66.06,65.47,0,64.51,single-route,editSpeed-110-R:STA_2_[110]-STA_3_[844],0,editSpeed-110-R:STA_2_[110]-STA_3_[844],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""64.51"" startRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" startRouteOffset=""0"" endRouteID=""editSpeed-110-R:STA_2_[110]-STA_3_[844]"" endRouteOffset=""999999""/>",
3,同德路-石碶,44,,traceability,UP044_20240708_120252_R2360,43,2362,07/0870843,43,0,2209,cruise-avg,65.93,44.09,65.93,899,66.96,66.84,66.5,0,65.93,single-route,editSpeed-844-R:STA_3_[844]-STA_4_[975],0,editSpeed-844-R:STA_3_[844]-STA_4_[975],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""65.93"" startRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" startRouteOffset=""0"" endRouteID=""editSpeed-844-R:STA_3_[844]-STA_4_[975]"" endRouteOffset=""999999""/>",
4,石碶-雅渡,44,,traceability,UP044_20240708_120252_R2360,43,2363,07/0870843,43,0,1670,cruise-avg,68.93,36.24,68.93,146,71.08,70.96,68.7,0,68.93,single-route,editSpeed-975-R:STA_4_[975]-STA_5_[1013],0,editSpeed-975-R:STA_4_[975]-STA_5_[1013],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""68.93"" startRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" startRouteOffset=""0"" endRouteID=""editSpeed-975-R:STA_4_[975]-STA_5_[1013]"" endRouteOffset=""999999""/>",
5,雅渡-庙堰,44,,traceability,UP044_20240708_120252_R2360,43,2364,07/0870843,43,0,2623,cruise-avg,76.22,51.86,76.22,1121,78.02,77.6,76.71,0,76.22,single-route,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],0,editSpeed-1013-R:STA_5_[1013]-STA_6_[1061],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""76.22"" startRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" startRouteOffset=""0"" endRouteID=""editSpeed-1013-R:STA_5_[1013]-STA_6_[1061]"" endRouteOffset=""999999""/>",
6,庙堰-钟公庙,44,,traceability,UP044_20240708_120252_R2360,43,2365,07/0870843,43,0,1912,cruise-avg,68.85,41.57,68.85,540,71.2,71.03,69.24,0,68.85,single-route,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],0,editSpeed-1061-R:STA_6_[1061]-STA_7_[1099],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""68.85"" startRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" startRouteOffset=""0"" endRouteID=""editSpeed-1061-R:STA_6_[1061]-STA_7_[1099]"" endRouteOffset=""999999""/>",
7,钟公庙-鄞州区政府,44,,traceability,UP044_20240708_120252_R2360,43,2366,07/0870843,43,0,1839,cruise-avg,65.02,39.12,65.02,567,67.79,67.6,65.34,0,65.02,single-route,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],0,editSpeed-1099-R:STA_7_[1099]-STA_8_[1146],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""65.02"" startRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" startRouteOffset=""0"" endRouteID=""editSpeed-1099-R:STA_7_[1099]-STA_8_[1146]"" endRouteOffset=""999999""/>",
8,鄞州区政府-钱湖南路,44,,traceability,UP044_20240708_120252_R2360,43,2367,07/0870843,43,0,2643,cruise-avg,70.7,50.1,70.7,1296,71.59,71.35,71.24,0,70.7,single-route,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],0,editSpeed-1146-R:STA_8_[1146]-STA_9_[1204],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""70.7"" startRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" startRouteOffset=""0"" endRouteID=""editSpeed-1146-R:STA_8_[1146]-STA_9_[1204]"" endRouteOffset=""999999""/>",
9,钱湖南路-南高教园区,44,,traceability,UP044_20240708_120252_R2360,43,2368,07/0870843,43,0,2015,cruise-avg,67.65,42.41,67.65,662,71.01,70.7,68.04,0,67.65,single-route,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],0,editSpeed-1204-R:STA_9_[1204]-STA_10_[1244],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""67.65"" startRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" startRouteOffset=""0"" endRouteID=""editSpeed-1204-R:STA_9_[1204]-STA_10_[1244]"" endRouteOffset=""999999""/>",
10,南高教园区-下应路,44,,traceability,UP044_20240708_120252_R2360,43,2369,07/0870843,43,0,2300,cruise-avg,69.86,46.14,69.86,892,70.86,70.75,70.48,0,69.86,single-route,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],0,editSpeed-1244-R:STA_10_[1244]-STA_11_[1306],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""69.86"" startRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" startRouteOffset=""0"" endRouteID=""editSpeed-1244-R:STA_10_[1244]-STA_11_[1306]"" endRouteOffset=""999999""/>",
11,下应路-大洋江,44,,traceability,UP044_20240708_120252_R2360,43,2370,07/0870843,43,0,2176,cruise-avg,60.77,40.79,60.77,957,61.36,61.32,61.22,0,60.77,single-route,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],0,editSpeed-1306-R:STA_11_[1306]-STA_12_[1359],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""60.77"" startRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" startRouteOffset=""0"" endRouteID=""editSpeed-1306-R:STA_11_[1306]-STA_12_[1359]"" endRouteOffset=""999999""/>",
12,大洋江-泗港,44,,traceability,UP044_20240708_120252_R2360,43,2371,07/0870843,43,0,1807,cruise-avg,63.72,38.76,63.72,570,66.55,66.37,64.23,0,63.72,single-route,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],0,editSpeed-1359-R:STA_12_[1359]-STA_13_[1395],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""63.72"" startRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" startRouteOffset=""0"" endRouteID=""editSpeed-1359-R:STA_12_[1359]-STA_13_[1395]"" endRouteOffset=""999999""/>",
13,泗港-曹隘,44,,traceability,UP044_20240708_120252_R2360,43,2372,07/0870843,43,0,2703,cruise-avg,77.92,48.64,77.92,902,78.96,78.76,78.52,0,77.92,single-route,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],0,editSpeed-1395-R:STA_13_[1395]-STA_14_[1485],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""77.92"" startRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" startRouteOffset=""0"" endRouteID=""editSpeed-1395-R:STA_13_[1395]-STA_14_[1485]"" endRouteOffset=""999999""/>",
14,曹隘-柳隘,44,,traceability,UP044_20240708_120252_R2360,43,2373,07/0870843,43,0,2137,cruise-avg,74.41,44.7,74.41,484,76.49,76.18,75.66,0,74.41,single-route,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],0,editSpeed-1485-R:STA_14_[1485]-STA_15_[1566],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""74.41"" startRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" startRouteOffset=""0"" endRouteID=""editSpeed-1485-R:STA_14_[1485]-STA_15_[1566]"" endRouteOffset=""999999""/>",
15,柳隘-海晏北路,44,,traceability,UP044_20240708_120252_R2360,43,2374,07/0870843,43,0,1811,cruise-avg,69.39,39.58,69.39,465,72.72,72.31,69.75,0,69.39,single-route,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],0,editSpeed-1566-R:STA_15_[1566]-STA_16_[1633],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""69.39"" startRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" startRouteOffset=""0"" endRouteID=""editSpeed-1566-R:STA_15_[1566]-STA_16_[1633]"" endRouteOffset=""999999""/>",
16,海晏北路-民安东路,44,,traceability,UP044_20240708_120252_R2360,43,2375,07/0870843,43,0,1679,cruise-avg,72.36,37.65,72.36,221,74.17,74.11,73.67,0,72.36,single-route,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],0,editSpeed-1633-R:STA_16_[1633]-STA_17_[1686],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""72.36"" startRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" startRouteOffset=""0"" endRouteID=""editSpeed-1633-R:STA_16_[1633]-STA_17_[1686]"" endRouteOffset=""999999""/>",
17,民安东路-会展中心,44,,traceability,UP044_20240708_120252_R2360,42,2376,07/0870842,42,0,1548,cruise-avg,67.14,34.26,67.14,207,68.76,68.67,68.21,0,67.14,single-route,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],0,editSpeed-1686-R:STA_17_[1686]-STA_18_[1704],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""67.14"" startRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" startRouteOffset=""0"" endRouteID=""editSpeed-1686-R:STA_17_[1686]-STA_18_[1704]"" endRouteOffset=""999999""/>",
18,会展中心-院士路,44,,traceability,UP044_20240708_120252_R2360,42,2377,07/0870842,42,0,2306,cruise-avg,77.69,49.21,77.69,840,78.61,78.56,78.43,0,77.69,single-route,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],0,editSpeed-1704-R:STA_18_[1704]-STA_19_[1738],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""77.69"" startRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" startRouteOffset=""0"" endRouteID=""editSpeed-1704-R:STA_18_[1704]-STA_19_[1738]"" endRouteOffset=""999999""/>",
19,院士路-盎孟港,44,,traceability,UP044_20240708_120252_R2360,42,2378,07/0870842,42,0,1802,cruise-avg,75.6,40.39,75.6,226,78.49,78.43,76.55,0,75.6,single-route,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],0,editSpeed-1738-R:STA_19_[1738]-STA_20_[1798],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""75.6"" startRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" startRouteOffset=""0"" endRouteID=""editSpeed-1738-R:STA_19_[1738]-STA_20_[1798]"" endRouteOffset=""999999""/>",
20,盎孟港-三官堂,44,,traceability,UP044_20240708_120252_R2360,42,2379,07/0870842,42,0,2807,cruise-avg,66.85,48.89,66.85,1515,68.54,68.24,67.24,0,66.85,single-route,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],0,editSpeed-1798-R:STA_20_[1798]-STA_21_[1838],999999,priority_history_trip044,"<setPositionSpeed trainID=""priority_history_trip044"" speed=""66.85"" startRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" startRouteOffset=""0"" endRouteID=""editSpeed-1798-R:STA_20_[1798]-STA_21_[1838]"" endRouteOffset=""999999""/>",
