t_arrival,v_peak_opt,E_wh
283.97501466400956,17.362492667995202,30971.005291453162
284.45319111540306,17.298404442298466,30954.86556379262
284.9801972543596,17.234901372820193,30898.0570357178
285.4560520995506,17.17197395022469,30881.73142303629
285.98077420527216,17.10961289736391,30828.362814100896
286.4543816767726,17.047809161613714,30817.319988015974
286.9768921849409,16.98655390752955,30767.86759429909
287.498322980389,16.92583850980549,30740.840284737722
287.96869090695714,16.865654546521423,30686.141045938362
288.48801241467135,16.805993792664307,30651.307137021824
288.95630357217993,16.746848213910017,30596.876140166838
289.47358007869406,16.688209960652973,30538.593055401332
289.98985727545613,16.630071362271917,30498.296512600253
290.45515015675926,16.572424921620346,30456.760238417068
290.9694733805377,16.515263309731132,30419.228692140285
291.48284127854987,16.5,30366.97854027497
291.99526786617173,16.5,30334.81589954236
292.45676685181945,16.5,30302.855564568483
292.9673516460173,16.5,30242.454309564975
293.47703537012774,16.5,30194.326167238643
293.98583086475867,16.5,30163.74742800484
294.49375069786174,16.5,30127.00587848678
294.9508071725364,16.5,30080.96198212795
295.45701233455145,16.5,30051.40952056295
295.9623779795974,16.5,30015.966893907214
296.46691566028096,16.5,29970.395417038984
296.9706366928723,16.5,29955.593668321293
297.4735521638162,16.5,29920.85987244188
297.975672936017,16.5,29884.115963732544
298.47700965490634,16.5,29802.52394531897
298.97757275430337,16.5,29793.92214448902
299.4773724620756,16.5,29740.735324537825
299.97641880560883,16.5,29704.864947338858
300.4747216170937,16.5,29686.53245297994
300.9722905386363,16.5,29635.06059697072
301.4691350272003,16.5,29589.68879389715
301.9652643593868,16.5,29532.384441184364
302.4606876360585,16.5,29504.20777188216
302.95541378681435,16.5,29482.50918285011
303.4994515743209,16.5,29450.377483315406
303.9928095985047,16.5,29416.747632509014
304.4854963006131,16.5,29375.624937905548
304.97751996714584,16.5,29325.684317028543
305.4688887336652,16.5,29312.413365250046
305.9596105884871,16.5,29258.861864924645
306.49969337625845,16.5,29216.610163063335
306.98914480142514,16.5,29198.141997777406
307.4779724315945,16.5,29147.056687283064
307.96618370079585,16.5,29105.069707846713
308.45378591264364,16.5,29091.29589574431
308.9907862434056,16.5,29008.345492014203
309.47719174498,16.5,29008.074354554392
309.9630093477862,16.5,28946.215195551333
310.49824586356874,16.5,28908.1238102427
310.98290798812144,16.5,28866.255781385513
311.46700230393213,16.5,28821.22831546399
311.95053528275116,16.5,28796.041068878247
312.48351328808695,16.5,28737.250574619153
312.96594257763064,16.5,28748.715190113482
313.49782930561196,16.5,28677.991544579123
313.9791795250895,16.5,28656.31614988117
314.459999190177,16.5,28618.330099342333
314.99029415820775,16.5,28577.397101284667
315.47007019183945,16.5,28535.525368163482
315.9993329611018,16.5,28522.87733022033
316.47808804538755,16.5,28504.382763518362
316.9563409353905,16.5,28461.28844505138
317.4840970349908,16.5,28444.43874732888
317.96136166309003,16.5,28401.090463839515
318.4881400553974,16.5,28387.202481490156
318.9644373661686,16.5,28365.525696671863
319.4902586698991,16.5,28339.58515836462
319.965608962973,16.5,28295.217322308177
320.49049316526896,16.5,28271.36778479653
320.9649161217248,16.5,28236.158640628208
321.48888260386155,16.5,28224.77776415839
321.96239731126894,16.5,28194.27956875788
322.48546487305225,16.5,28176.182675757118
322.9580898492437,16.5,28145.147064355428
323.4802767321773,16.5,28150.215976796568
323.95202994782966,16.5,28095.5586078156
324.4733538571276,16.5,28102.767006689173
324.9942527572233,16.5,28062.3129971952
325.4647308827372,16.5,28047.43578038807
325.98479240697196,16.5,27999.50531300341
326.4544414430954,16.5,28005.730839419568
326.97368204529533,16.5,27955.09882915376
327.49251820990696,16.5,27924.748330266644
327.96095387651206,16.5,27911.41602315737
328.4789929290131,16.5,27878.786090584166
328.99663919668075,16.5,27858.551362157894
329.4638964551778,16.5,27820.81017747838
329.9807684275576,16.5,27792.08655196274
330.4972587852405,16.5,27770.035269255008
330.9633711489663,16.5,27734.22428026362
331.4791090897257,16.5,27722.868025662352
331.99447612966924,16.5,27674.028800819815
332.4594757429963,16.5,27619.15501264825
332.9741113568231,16.5,27600.796099078078
333.4883863520313,16.5,27567.834001080526
333.95230406409723,16.5,27529.456442898674
334.4658677839027,16.5,27507.069950902784
334.9790807585273,16.5,27448.974726133718
335.49194619202314,16.5,27426.565711795032
335.95446724617256,16.5,27410.124589944433
336.46664704122884,16.5,27358.693928162334
336.97848865664076,16.5,27332.46334463879
337.48999513176136,16.5,27295.33920994404
337.95116946654093,16.5,27263.46159486315
338.46201462220534,16.5,27227.28119553753
338.97253352191973,16.5,27166.899552243478
339.4827290514373,16.5,27117.576949976097
339.9926040597351,16.5,27084.898511098374
340.4521613596357,16.5,27038.994189526285
340.96140372841575,16.5,27002.859947971832
341.47033390840187,16.5,26973.991739040477
341.978954607554,16.5,26913.691432290638
342.4872685000362,16.5,26876.155999197326
342.9952782267758,16.5,26841.222652532015
343.4529863960114,16.5,26802.571146406728
343.9603955838285,16.5,26744.243700685118
344.467508334685,16.5,26700.94165680651
344.9743271619259,16.5,26656.842134325074
