t_arrival,v_peak_opt,E_wh
94.0,18.532265624999997,12333.457
95.0,17.883242187499995,12172.907
96.0,17.331572265624995,12002.354
97.0,16.8448046875,11828.428
98.0,16.39048828125,11647.556
99.0,15.936171875,11450.518
100.0,15.579208984375,11328.778
101.0,15.222246093749998,11221.795
102.0,14.897734374999999,11149.62
103.0,14.57322265625,11043.747
104.0,14.281162109375003,10948.088
105.0,14.021552734375003,10857.396
106.0,13.761943359375003,10748.161
107.0,13.502333984375003,10572.182
108.0,13.275175781250002,10439.655
109.0,13.048017578125002,10341.734
110.0,12.820859375000001,10213.104
111.0,12.62615234375,10120.084
112.0,12.431445312500001,9985.195
113.0,12.236738281250002,9815.268
114.0,12.0582568359375,9680.934
