t_arrival,v_peak_opt,E_wh
99.0,28.358181818181823,16696.994
100.0,25.0225,15545.692
101.0,23.3350390625,15207.486
102.0,22.231699218750002,14670.898
103.0,21.32306640625,14111.817
104.0,20.609140625,13528.67
105.0,19.960117187499996,13085.594
106.0,19.375996093749997,12815.208
107.0,18.856777343749997,12729.683
108.0,18.402460937499995,12705.604
109.0,17.980595703124997,12643.771
110.0,17.55873046875,12531.386
111.0,17.201767578124997,12396.648
112.0,16.8448046875,12261.768
113.0,16.52029296875,12145.541
114.0,16.228232421875,12005.9375
115.0,15.936171875,11878.506
116.0,15.644111328125,11722.772
117.0,15.384501953125,11530.473
118.0,15.157343749999999,11353.988
119.0,14.897734374999999,11114.032
120.0,14.670576171875002,10874.609
