t_arrival,v_peak_opt,E_wh
72.0,20.63818181818182,12659.262
73.0,20.63818181818182,12659.262
74.0,20.63818181818182,12659.262
75.0,17.6236328125,10695.14
76.0,16.3255859375,9550.919
77.0,15.416953125,8637.789
78.0,14.703027343750001,7822.998
79.0,14.118906250000002,7186.84
80.0,13.599687500000002,6618.747
81.0,13.14537109375,6119.733
82.0,12.755957031250002,5750.686
83.0,12.431445312500001,5532.5186
84.0,12.074482421875,5266.383
85.0,11.782421875,5047.487
86.0,11.490361328125001,4828.108
87.0,11.230751953125,4644.125
88.0,10.971142578125,4445.0815
