站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.44,29.0,-0.56,117.45,12947.63,13422.51,13477.15,历史原始实测能耗,474.88,real,class3,class3,80,80,strong,energy_first,215.24,UP003_20240701_102344_R111,2.0,111.0
张家潭-同德路,class1,141.0,28.42,29.0,-0.58,151.75,17890.72,17522.3,17482.78,历史原始实测能耗,-368.42,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP003_20240701_102344_R111,2.0,112.0
同德路-石碶,class3,109.0,34.3,35.0,-0.7,112.05,13125.73,13071.5,12809.41,历史原始实测能耗,-54.23,real,class3,class3,60,60,strong,energy_first,215.34,UP003_20240701_102344_R111,2.0,113.0
石碶-雅渡,class2,80.0,28.42,29.0,-0.58,81.85,11046.12,13041.46,12955.87,历史原始实测能耗,1995.34,real,class2,class2,38,38,strong,energy_first,215.34,UP003_20240701_102344_R111,2.0,114.0
雅渡-庙堰,class2,129.0,28.42,29.0,-0.58,131.4,20493.52,21037.35,20027.64,历史原始实测能耗,543.83,real,class2,class2,32,32,strong,energy_first,215.34,UP003_20240701_102344_R111,2.0,115.0
庙堰-钟公庙,class4,101.0,29.4,30.0,-0.6,95.75,10856.06,13754.66,13658.81,历史原始实测能耗,2898.6,extrapolated_adjacent,class3,class3,0,84,generated,energy_first,215.54,UP003_20240701_102344_R111,2.0,116.0
钟公庙-鄞州区政府,class5,99.0,39.2,40.0,-0.8,90.3,6129.62,10268.27,10141.05,历史原始实测能耗,4138.65,extrapolated_adjacent,class4,class4,0,1,generated,energy_first,215.64,UP003_20240701_102344_R111,2.0,117.0
鄞州区政府-钱湖南路,class3,132.1,28.42,29.0,-0.58,132.5,16066.42,17377.92,16864.37,历史原始实测能耗,1311.5,real,class3,class3,62,62,strong,energy_first,215.74,UP003_20240701_102344_R111,2.0,118.0
钱湖南路-南高教园区,class4,105.0,34.3,35.0,-0.7,100.55,11805.48,13706.01,13386.84,历史原始实测能耗,1900.53,extrapolated_adjacent,class3,class3,0,63,generated,energy_first,215.84,UP003_20240701_102344_R111,2.0,119.0
南高教园区-下应路,class3,114.0,29.4,30.0,-0.6,113.3,18468.87,18303.06,17964.08,历史原始实测能耗,-165.81,real,class3,class3,63,63,strong,energy_first,216.24,UP003_20240701_102344_R111,2.0,120.0
下应路-大洋江,class3,106.0,28.42,29.0,-0.58,106.95,11307.4,11924.55,11620.09,历史原始实测能耗,617.15,real,class3,class3,65,65,strong,energy_first,216.24,UP003_20240701_102344_R111,2.0,121.0
大洋江-泗港,class4,96.0,28.42,29.0,-0.58,91.2,9563.59,11631.5,11372.44,历史原始实测能耗,2067.91,extrapolated_adjacent,class3,class3,0,99,generated,energy_first,216.14,UP003_20240701_102344_R111,2.0,122.0
泗港-曹隘,class4,137.0,30.38,31.0,-0.62,135.05,22963.08,23419.64,23235.89,历史原始实测能耗,456.56,real,class4,class4,82,82,strong,energy_first,215.94,UP003_20240701_102344_R111,2.0,123.0
曹隘-柳隘,class5,119.0,28.42,29.0,-0.58,106.15,13522.19,20883.83,20729.08,历史原始实测能耗,7361.64,extrapolated_adjacent,class4,class4,0,1,generated,energy_first,215.84,UP003_20240701_102344_R111,2.0,124.0
