站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.5,30.0,-1.5,116.3,12947.63,13153.35,12973.21,历史原始实测能耗,205.72,real,class3,class3,80,80,strong,real_only,215.24,UP008_20240701_214424_R382,7.0,382.0
张家潭-同德路,class2,148.0,27.55,29.0,-1.45,150.2,17599.22,17411.96,17362.57,历史原始实测能耗,-187.26,real,class2,class2,8,8,strong,real_only,215.24,UP008_20240701_214424_R382,7.0,383.0
同德路-石碶,class3,109.0,33.25,35.0,-1.75,111.3,13125.73,11880.66,11693.28,历史原始实测能耗,-1245.07,real,class3,class3,60,60,strong,real_only,215.34,UP008_20240701_214424_R382,7.0,384.0
石碶-雅渡,class2,80.0,28.5,30.0,-1.5,83.45,11150.34,13178.29,13045.3,历史原始实测能耗,2027.95,real,class2,class2,38,38,strong,real_only,216.44,UP008_20240701_214424_R382,7.0,385.0
雅渡-庙堰,class4,139.0,28.5,30.0,-1.5,130.9,18243.53,21344.77,20347.35,历史原始实测能耗,3101.24,real,class4,class4,10,10,strong,real_only,216.34,UP008_20240701_214424_R382,7.0,386.0
庙堰-钟公庙,class3,96.0,29.46,31.0,-1.54,95.3,12613.33,13772.46,13585.14,历史原始实测能耗,1159.13,real,class3,class3,84,84,strong,real_only,216.32,UP008_20240701_214424_R382,7.0,387.0
钟公庙-鄞州区政府,class4,95.0,37.06,39.0,-1.94,90.3,8011.71,10293.17,10190.7,历史原始实测能耗,2281.46,real,class4,class4,1,1,weak,real_only,216.14,UP008_20240701_214424_R382,7.0,388.0
鄞州区政府-钱湖南路,class3,132.1,27.56,29.0,-1.44,132.4,16125.88,17612.23,17122.86,历史原始实测能耗,1486.35,real,class3,class3,62,62,strong,real_only,216.14,UP008_20240701_214424_R382,7.0,389.0
钱湖南路-南高教园区,class3,100.0,33.26,35.0,-1.74,100.1,13628.03,14152.22,13798.52,历史原始实测能耗,524.19,real,class3,class3,63,63,strong,real_only,216.02,UP008_20240701_214424_R382,7.0,390.0
南高教园区-下应路,class3,114.0,27.56,29.0,-1.44,115.15,18457.32,18949.08,18654.06,历史原始实测能耗,491.76,real,class3,class3,63,63,strong,real_only,216.14,UP008_20240701_214424_R382,7.0,391.0
下应路-大洋江,class3,106.0,28.51,30.0,-1.49,105.1,11307.4,11138.46,10911.88,历史原始实测能耗,-168.94,real,class3,class3,65,65,strong,real_only,216.24,UP008_20240701_214424_R382,7.0,392.0
大洋江-泗港,class3,92.0,27.56,29.0,-1.44,92.7,10742.48,10057.24,9863.8,历史原始实测能耗,-685.24,real,class3,class3,99,99,strong,real_only,215.84,UP008_20240701_214424_R382,7.0,393.0
泗港-曹隘,class4,137.0,28.51,30.0,-1.49,134.4,22963.08,22707.03,22678.63,历史原始实测能耗,-256.05,real,class4,class4,82,82,strong,real_only,215.94,UP008_20240701_214424_R382,7.0,394.0
曹隘-柳隘,class4,113.0,27.56,29.0,-1.44,106.45,15939.04,20761.08,20654.69,历史原始实测能耗,4822.04,real,class4,class4,1,1,weak,real_only,215.54,UP008_20240701_214424_R382,7.0,395.0
柳隘-海晏北路,class3,92.0,42.76,45.0,-2.24,91.55,11455.56,12094.55,12200.92,历史原始实测能耗,638.99,real,class3,class3,35,35,strong,real_only,215.54,UP008_20240701_214424_R382,7.0,396.0
海晏北路-民安东路,class3,85.0,28.51,30.0,-1.49,84.0,14697.33,15539.43,15367.98,历史原始实测能耗,842.1,real,class3,class3,41,41,strong,real_only,216.04,UP008_20240701_214424_R382,7.0,397.0
民安东路-会展中心,class3,79.0,28.51,30.0,-1.49,77.3,11604.93,12235.74,12209.7,历史原始实测能耗,630.81,real,class3,class3,8,8,strong,real_only,216.44,UP008_20240701_214424_R382,7.0,398.0
会展中心-院士路,class3,115.0,27.56,29.0,-1.44,114.95,14923.93,14957.21,14771.92,历史原始实测能耗,33.28,real,class3,class3,104,104,strong,real_only,216.24,UP008_20240701_214424_R382,7.0,399.0
