trip_no,section,global_trip_id,source_run_id,absolute_start,absolute_end,trainset,run_time_s,real_energy_wh,model_energy_wh,mass_t,run_class,quality_label,period
16,布政-张家潭,UP016_20240703_061856_R803,803,2024-07-03 06:18:56,2024-07-03 06:20:53,5014,116.85,13750.967995013889,13409.235346527532,215.24,3,0,
16,张家潭-同德路,UP016_20240703_061856_R803,804,2024-07-03 06:21:23,2024-07-03 06:23:53,5014,150.45,18184.997401458335,17323.361398602316,215.24,3,0,
16,同德路-石碶,UP016_20240703_061856_R803,805,2024-07-03 06:24:23,2024-07-03 06:26:10,5014,106.3,15716.915319694446,14988.615381125488,215.24,2,0,
16,石碶-雅渡,UP016_20240703_061856_R803,806,2024-07-03 06:26:44,2024-07-03 06:28:06,5014,82.05,12186.85279390972,11909.517122029836,215.24,3,0,
16,雅渡-庙堰,UP016_20240703_061856_R803,807,2024-07-03 06:28:36,2024-07-03 06:30:45,5014,129.65,21895.46654447917,20737.053380119374,215.24,2,0,
16,庙堰-钟公庙,UP016_20240703_061856_R803,808,2024-07-03 06:31:14,2024-07-03 06:32:49,5014,94.85,16105.048928020831,15637.814654014115,215.34,3,0,
16,钟公庙-鄞州区政府,UP016_20240703_061856_R803,809,2024-07-03 06:33:19,2024-07-03 06:34:48,5014,88.55,13708.140811999998,13242.614617964833,215.24,3,0,
16,鄞州区政府-钱湖南路,UP016_20240703_061856_R803,810,2024-07-03 06:35:27,2024-07-03 06:37:35,5014,127.85,18579.109368951387,17901.945378167802,215.34,2,0,
16,钱湖南路-南高教园区,UP016_20240703_061856_R803,811,2024-07-03 06:38:05,2024-07-03 06:39:41,5014,96.65,15190.01111579861,15191.442787087428,215.24,2,0,
16,南高教园区-下应路,UP016_20240703_061856_R803,812,2024-07-03 06:40:16,2024-07-03 06:42:07,5014,110.65,21268.07195457639,21221.32576940841,215.34,2,0,
16,下应路-大洋江,UP016_20240703_061856_R803,813,2024-07-03 06:42:37,2024-07-03 06:44:18,5014,101.55,13773.227256430555,13004.85733901265,215.44,2,0,
16,大洋江-泗港,UP016_20240703_061856_R803,814,2024-07-03 06:44:48,2024-07-03 06:46:18,5014,90.4,11968.037241645834,11632.80062241906,215.34,3,0,
16,泗港-曹隘,UP016_20240703_061856_R803,815,2024-07-03 06:46:48,2024-07-03 06:49:03,5014,134.85,22999.061504375,23622.467976737986,215.54,4,0,
16,曹隘-柳隘,UP016_20240703_061856_R803,816,2024-07-03 06:49:34,2024-07-03 06:51:20,5014,106.7,20942.543823041666,16844.60152916277,215.54,2,0,
16,柳隘-海晏北路,UP016_20240703_061856_R803,817,2024-07-03 06:51:51,2024-07-03 06:53:19,5014,88.55,14464.682681249998,14455.048824198244,215.74,2,0,
16,海晏北路-民安东路,UP016_20240703_061856_R803,818,2024-07-03 06:54:03,2024-07-03 06:55:27,5014,84.1,16239.622768840278,14592.513104920861,216.14,3,0,
16,民安东路-会展中心,UP016_20240703_061856_R803,819,2024-07-03 06:55:57,2024-07-03 06:57:14,5014,77.05,12197.021686784723,11719.145445450957,216.34,2,0,
16,会展中心-院士路,UP016_20240703_061856_R803,820,2024-07-03 06:57:43,2024-07-03 06:59:38,5014,115.3,14910.673041652779,14177.48768504656,216.34,3,0,
16,院士路-盎孟港,UP016_20240703_061856_R803,821,2024-07-03 07:00:08,2024-07-03 07:01:39,5014,90.9,19771.962040208335,18377.90722058247,215.94,3,0,
16,盎孟港-三官堂,UP016_20240703_061856_R803,822,2024-07-03 07:02:09,2024-07-03 07:04:19,5014,130.35,18260.114160972225,17965.988266036613,215.94,2,0,
16,三官堂-兴庄路,UP016_20240703_061856_R803,823,2024-07-03 07:04:49,2024-07-03 07:06:28,5014,98.15,11816.735183013889,12363.968709723085,215.74,2,0,
16,兴庄路-兴海南路,UP016_20240703_061856_R803,824,2024-07-03 07:06:58,2024-07-03 07:08:27,5014,88.45,14634.534479055557,13940.533812126794,215.44,2,0,
16,兴海南路-梅堰,UP016_20240703_061856_R803,825,2024-07-03 07:08:55,2024-07-03 07:10:16,5014,81.0,12779.809564805557,12432.498850042703,215.54,3,0,
16,梅堰-永茂路,UP016_20240703_061856_R803,826,2024-07-03 07:10:46,2024-07-03 07:16:01,5014,314.8,29676.870770763886,29758.235739728814,215.74,3,0,
16,永茂路-镇海大道,UP016_20240703_061856_R803,827,2024-07-03 07:16:29,2024-07-03 07:18:51,5014,142.0,17210.513852618056,17402.779933771108,215.54,2,0,
16,镇海大道-骆驼桥,UP016_20240703_061856_R803,828,2024-07-03 07:19:18,2024-07-03 07:21:15,5014,116.55,20631.261247249997,19833.73495413526,215.34,2,0,
