站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,30.0,30.0,0.0,116.1,12947.95,14346.18,14172.96,历史原始实测能耗,1398.23,real,class3,class3,80,80,strong,energy_first,215.24,UP019_20240703_130112_R967,18.0,967.0
张家潭-同德路,class1,141.0,30.0,30.0,0.0,150.05,18365.43,17317.47,16962.32,历史原始实测能耗,-1047.96,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.34,UP019_20240703_130112_R967,18.0,968.0
同德路-石碶,class3,109.0,35.0,35.0,0.0,110.25,12861.48,12278.75,11667.46,历史原始实测能耗,-582.73,real,class3,class3,60,60,strong,energy_first,215.24,UP019_20240703_130112_R967,18.0,969.0
石碶-雅渡,class2,80.0,29.0,29.0,0.0,78.4,11081.99,12306.3,11892.16,历史原始实测能耗,1224.31,real,class2,class2,38,38,strong,energy_first,215.54,UP019_20240703_130112_R967,18.0,970.0
雅渡-庙堰,class2,129.0,29.0,29.0,0.0,134.75,20630.35,20274.17,19550.21,历史原始实测能耗,-356.18,real,class2,class2,32,32,strong,energy_first,215.64,UP019_20240703_130112_R967,18.0,971.0
庙堰-钟公庙,class3,96.0,29.0,29.0,0.0,96.6,12601.11,12996.04,13114.96,历史原始实测能耗,394.93,real,class3,class3,84,84,strong,energy_first,215.74,UP019_20240703_130112_R967,18.0,972.0
钟公庙-鄞州区政府,class5,99.0,39.0,39.0,0.0,90.6,5826.86,10517.49,10121.04,历史原始实测能耗,4690.63,extrapolated_adjacent,class4,class4,0,1,generated,energy_first,215.64,UP019_20240703_130112_R967,18.0,973.0
鄞州区政府-钱湖南路,class3,132.1,29.0,29.0,0.0,132.5,16057.12,17551.27,16992.82,历史原始实测能耗,1494.15,real,class3,class3,62,62,strong,energy_first,215.64,UP019_20240703_130112_R967,18.0,974.0
钱湖南路-南高教园区,class3,100.0,35.0,35.0,0.0,100.55,13882.04,14184.4,14136.67,历史原始实测能耗,302.36,real,class3,class3,63,63,strong,energy_first,215.84,UP019_20240703_130112_R967,18.0,975.0
南高教园区-下应路,class3,114.0,30.0,30.0,0.0,114.6,19076.24,17952.09,18149.53,历史原始实测能耗,-1124.15,real,class3,class3,63,63,strong,energy_first,215.94,UP019_20240703_130112_R967,18.0,976.0
