站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,28.57,30.0,-1.43,117.65,12947.95,14000.41,13858.43,历史原始实测能耗,1052.46,real,class3,class3,80,80,strong,real_only,215.24,UP035_20240706_081839_R1868,34.0,1868.0
张家潭-同德路,class2,148.0,28.56,30.0,-1.44,150.95,17497.75,18151.55,17504.29,历史原始实测能耗,653.8,real,class2,class2,8,8,strong,real_only,215.34,UP035_20240706_081839_R1868,34.0,1869.0
同德路-石碶,class4,114.0,33.33,35.0,-1.67,108.55,12864.72,13572.19,13055.45,历史原始实测能耗,707.47,real,class4,class4,9,9,strong,real_only,215.34,UP035_20240706_081839_R1868,34.0,1870.0
石碶-雅渡,class2,80.0,29.52,31.0,-1.48,79.1,11125.49,12184.17,11881.4,历史原始实测能耗,1058.68,real,class2,class2,38,38,strong,real_only,216.74,UP035_20240706_081839_R1868,34.0,1871.0
雅渡-庙堰,class4,139.0,28.56,30.0,-1.44,133.65,18706.69,20647.11,20083.28,历史原始实测能耗,1940.42,real,class4,class4,10,10,strong,real_only,217.32,UP035_20240706_081839_R1868,34.0,1872.0
庙堰-钟公庙,class3,96.0,28.56,30.0,-1.44,96.05,12889.43,14057.22,14127.83,历史原始实测能耗,1167.79,real,class3,class3,84,84,strong,real_only,217.82,UP035_20240706_081839_R1868,34.0,1873.0
钟公庙-鄞州区政府,class4,95.0,38.09,40.0,-1.91,90.25,7821.31,13261.28,12814.19,历史原始实测能耗,5439.97,real,class4,class4,1,1,weak,real_only,217.92,UP035_20240706_081839_R1868,34.0,1874.0
鄞州区政府-钱湖南路,class3,132.1,28.56,30.0,-1.44,131.85,16370.99,16383.09,16026.15,历史原始实测能耗,12.1,real,class3,class3,62,62,strong,real_only,217.72,UP035_20240706_081839_R1868,34.0,1875.0
钱湖南路-南高教园区,class3,100.0,33.33,35.0,-1.67,100.65,14070.2,12784.09,13057.85,历史原始实测能耗,-1286.11,real,class3,class3,63,63,strong,real_only,217.22,UP035_20240706_081839_R1868,34.0,1876.0
南高教园区-下应路,class3,114.0,27.61,29.0,-1.39,115.05,19162.31,19434.81,19546.76,历史原始实测能耗,272.5,real,class3,class3,63,63,strong,real_only,216.64,UP035_20240706_081839_R1868,34.0,1877.0
下应路-大洋江,class3,106.0,28.56,30.0,-1.44,105.85,11204.61,11420.86,10937.84,历史原始实测能耗,216.25,real,class3,class3,65,65,strong,real_only,216.84,UP035_20240706_081839_R1868,34.0,1878.0
大洋江-泗港,class3,92.0,29.52,31.0,-1.48,91.0,10651.45,11802.41,11274.91,历史原始实测能耗,1150.96,real,class3,class3,99,99,strong,real_only,216.74,UP035_20240706_081839_R1868,34.0,1879.0
泗港-曹隘,class4,137.0,28.56,30.0,-1.44,135.75,24323.05,22588.99,23855.12,历史原始实测能耗,-1734.06,real,class4,class4,82,82,strong,real_only,216.92,UP035_20240706_081839_R1868,34.0,1880.0
曹隘-柳隘,class4,113.0,27.61,29.0,-1.39,107.3,12259.01,20982.56,16920.75,历史原始实测能耗,8723.55,real,class4,class4,1,1,weak,real_only,217.72,UP035_20240706_081839_R1868,34.0,1881.0
柳隘-海晏北路,class3,92.0,42.85,45.0,-2.15,89.55,11639.09,14705.69,14912.3,历史原始实测能耗,3066.6,real,class3,class3,35,35,strong,real_only,218.3,UP035_20240706_081839_R1868,34.0,1882.0
海晏北路-民安东路,class3,85.0,29.52,31.0,-1.48,83.85,14041.75,15435.92,13989.6,历史原始实测能耗,1394.17,real,class3,class3,41,41,strong,real_only,218.1,UP035_20240706_081839_R1868,34.0,1883.0
民安东路-会展中心,class3,79.0,28.56,30.0,-1.44,77.0,11713.42,12155.39,11710.46,历史原始实测能耗,441.97,real,class3,class3,8,8,strong,real_only,217.13,UP035_20240706_081839_R1868,34.0,1884.0
会展中心-院士路,class3,115.0,28.56,30.0,-1.44,115.7,14409.7,14919.11,14238.0,历史原始实测能耗,509.41,real,class3,class3,104,104,strong,real_only,216.52,UP035_20240706_081839_R1868,34.0,1885.0
院士路-盎孟港,class3,91.0,29.52,31.0,-1.48,90.2,16570.41,18504.08,17177.19,历史原始实测能耗,1933.67,real,class3,class3,99,99,strong,real_only,215.94,UP035_20240706_081839_R1868,34.0,1886.0
盎孟港-三官堂,class2,132.0,33.33,35.0,-1.67,136.1,17811.68,16524.96,16221.62,历史原始实测能耗,-1286.72,real,class2,class2,52,52,strong,real_only,215.64,UP035_20240706_081839_R1868,34.0,1887.0
三官堂-兴庄路,class3,104.0,29.52,31.0,-1.48,103.15,11340.87,10474.31,11030.88,历史原始实测能耗,-866.56,real,class3,class3,58,58,strong,real_only,215.64,UP035_20240706_081839_R1868,34.0,1888.0
兴庄路-兴海南路,class2,87.0,28.56,30.0,-1.44,91.45,16357.2,12175.12,11708.4,历史原始实测能耗,-4182.08,real,class2,class2,30,30,strong,real_only,215.64,UP035_20240706_081839_R1868,34.0,1889.0
兴海南路-梅堰,class3,82.0,32.37,34.0,-1.63,81.65,11140.28,12996.13,12737.21,历史原始实测能耗,1855.85,real,class3,class3,73,73,strong,real_only,215.64,UP035_20240706_081839_R1868,34.0,1890.0
梅堰-永茂路,class4,329.0,25.71,27.0,-1.29,330.4,26065.87,26195.05,25708.84,历史原始实测能耗,129.18,real,class4,class4,26,26,strong,real_only,215.44,UP035_20240706_081839_R1868,27.0,1891.0
永茂路-镇海大道,class4,156.0,25.71,27.0,-1.29,143.3,16030.81,17794.53,18053.13,历史原始实测能耗,1763.72,real,class4,class4,1,1,weak,real_only,215.54,UP035_20240706_081839_R1868,34.0,1892.0
镇海大道-骆驼桥,class4,128.0,0.0,0.0,0.0,117.25,17093.79,20233.42,19761.06,历史原始实测能耗,3139.63,real,class4,class4,1,1,weak,real_only,215.34,UP035_20240706_081839_R1868,34.0,1893.0
--- 总计 ---,节能率: 6.60%,3061.1,753.1500000000001,791.0,-37.85,3814.25,386109.83,413384.45,402192.94,历史原始实测能耗,27274.62,,,,,,,real_only,,,,
