站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,28.4,117.65,12947.63,14089.18,14072.51,历史原始实测能耗,1141.55,real,class3,class3,80,80,strong,real_only,215.24
张家潭-同德路,class2,148.0,28.4,149.95,17599.22,17853.57,17910.07,历史原始实测能耗,254.35,real,class2,class2,8,8,strong,real_only,215.24
同德路-石碶,class3,109.0,28.4,109.45,13094.43,12635.22,12425.82,历史原始实测能耗,-459.21,real,class3,class3,60,60,strong,real_only,215.24
石碶-雅渡,class2,80.0,28.4,83.9,11114.09,14061.91,13899.08,历史原始实测能耗,2947.82,real,class2,class2,38,38,strong,real_only,215.64
雅渡-庙堰,class4,139.0,28.4,130.85,18182.81,21156.42,20297.49,历史原始实测能耗,2973.61,real,class4,class4,10,10,strong,real_only,215.64
庙堰-钟公庙,class3,96.0,28.4,95.05,12501.13,13435.3,13274.0,历史原始实测能耗,934.17,real,class3,class3,84,84,strong,real_only,215.64
钟公庙-鄞州区政府,class4,95.0,28.4,91.5,7971.63,10059.38,9945.04,历史原始实测能耗,2087.75,real,class4,class4,1,1,weak,real_only,215.54
鄞州区政府-钱湖南路,class3,132.0,28.4,131.6,16125.88,16619.51,16101.38,历史原始实测能耗,493.63,real,class3,class3,62,62,strong,real_only,216.14
钱湖南路-南高教园区,class3,100.0,28.4,101.4,13662.47,13885.67,13437.37,历史原始实测能耗,223.2,real,class3,class3,63,63,strong,real_only,216.34
南高教园区-下应路,class3,114.0,28.4,114.55,18468.87,19354.08,19034.53,历史原始实测能耗,885.21,real,class3,class3,63,63,strong,real_only,216.24
下应路-大洋江,class3,106.0,28.4,105.75,11319.31,11238.91,11009.82,历史原始实测能耗,-80.4,real,class3,class3,65,65,strong,real_only,216.34
大洋江-泗港,class3,92.0,28.4,91.45,10778.43,10860.59,10741.81,历史原始实测能耗,82.16,real,class3,class3,99,99,strong,real_only,216.34
泗港-曹隘,class4,137.0,28.4,134.7,23011.05,22482.05,22530.43,历史原始实测能耗,-529.0,real,class4,class4,82,82,strong,real_only,216.34
曹隘-柳隘,class4,113.0,28.4,106.2,15975.51,20901.77,20724.0,历史原始实测能耗,4926.26,real,class4,class4,1,1,weak,real_only,215.94
柳隘-海晏北路,class3,92.0,28.4,88.65,11482.88,14603.15,14687.95,历史原始实测能耗,3120.27,real,class3,class3,35,35,strong,real_only,215.94
海晏北路-民安东路,class3,85.0,28.4,84.15,14842.03,15766.87,15563.31,历史原始实测能耗,924.84,real,class3,class3,41,41,strong,real_only,217.62
民安东路-会展中心,class3,79.0,28.4,77.1,11742.24,12400.49,12384.06,历史原始实测能耗,658.25,real,class3,class3,8,8,strong,real_only,218.02
会展中心-院士路,class3,115.0,28.4,114.8,15070.9,15044.78,14915.1,历史原始实测能耗,-26.12,real,class3,class3,104,104,strong,real_only,218.12
院士路-盎孟港,class3,91.0,28.4,90.0,17956.7,18576.59,18454.35,历史原始实测能耗,619.89,real,class3,class3,99,99,strong,real_only,217.02
盎孟港-三官堂,class3,139.0,28.4,140.3,17183.8,18213.98,17621.49,历史原始实测能耗,1030.18,real,class3,class3,52,52,strong,real_only,216.74
三官堂-兴庄路,class3,104.0,28.4,103.0,10539.58,10744.94,10588.06,历史原始实测能耗,205.36,real,class3,class3,58,58,strong,real_only,216.34
兴庄路-兴海南路,class2,87.0,28.4,90.95,15872.82,12746.29,12654.06,历史原始实测能耗,-3126.53,real,class2,class2,30,30,strong,real_only,215.74
兴海南路-梅堰,class3,82.0,28.4,81.25,11310.93,12733.85,12662.32,历史原始实测能耗,1422.92,real,class3,class3,73,73,strong,real_only,215.44
梅堰-永茂路,class4,329.0,28.4,329.45,26368.47,25761.91,25923.33,历史原始实测能耗,-606.56,real,class4,class4,26,26,strong,real_only,215.34
永茂路-镇海大道,class4,156.0,28.4,142.45,15542.69,17954.46,17582.73,历史原始实测能耗,2411.77,real,class4,class4,1,1,weak,real_only,215.34
镇海大道-骆驼桥,class4,128.0,0.0,116.85,17274.17,20533.87,20143.76,历史原始实测能耗,3259.7,real,class4,class4,1,1,weak,real_only,215.34
--- 总计 ---,节能率: 6.23%,3063.0,709.9999999999999,3772.95,387939.67,413714.74,408583.87,历史原始实测能耗,25775.07,,,,,,,real_only,
