站间区间,选定等级,规划用时(s),停站时间(s),历史停站时间(s),停站偏差(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS,全局趟次ID,历史segment,历史来源run_id
布政-张家潭,class3,115.0,29.0,29.0,0.0,116.3,12947.63,12741.01,12627.01,历史原始实测能耗,-206.62,real,class3,class3,80,80,strong,energy_first,215.24,UP012_20240702_141702_R603,11.0,603.0
张家潭-同德路,class1,141.0,29.0,29.0,0.0,151.5,17890.72,17587.78,17616.87,历史原始实测能耗,-302.94,extrapolated_adjacent,class2,class2,0,8,generated,energy_first,215.24,UP012_20240702_141702_R603,11.0,604.0
同德路-石碶,class3,109.0,35.0,35.0,0.0,110.95,13094.43,11959.92,11699.46,历史原始实测能耗,-1134.51,real,class3,class3,60,60,strong,energy_first,215.24,UP012_20240702_141702_R603,11.0,605.0
石碶-雅渡,class2,80.0,30.0,30.0,0.0,81.25,11046.12,11841.74,11740.73,历史原始实测能耗,795.62,real,class2,class2,38,38,strong,energy_first,215.34,UP012_20240702_141702_R603,11.0,606.0
雅渡-庙堰,class2,129.0,29.0,29.0,0.0,132.75,20522.53,20254.03,19413.82,历史原始实测能耗,-268.5,real,class2,class2,32,32,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,607.0
庙堰-钟公庙,class3,96.0,30.0,30.0,0.0,96.7,12482.54,13489.83,13479.27,历史原始实测能耗,1007.29,real,class3,class3,84,84,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,608.0
钟公庙-鄞州区政府,class3,90.0,39.0,39.0,0.0,90.65,10332.24,10015.27,9966.49,历史原始实测能耗,-316.97,real,class3,class3,108,108,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,609.0
鄞州区政府-钱湖南路,class3,132.1,30.0,30.0,0.0,131.65,16051.29,16319.98,15768.05,历史原始实测能耗,268.69,real,class3,class3,62,62,strong,energy_first,215.64,UP012_20240702_141702_R603,11.0,610.0
钱湖南路-南高教园区,class3,100.0,35.0,35.0,0.0,99.95,13575.18,13765.64,13411.53,历史原始实测能耗,190.46,real,class3,class3,63,63,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,611.0
南高教园区-下应路,class3,114.0,30.0,30.0,0.0,113.7,18386.62,19336.95,19005.81,历史原始实测能耗,950.33,real,class3,class3,63,63,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,612.0
下应路-大洋江,class2,101.0,30.0,30.0,0.0,105.3,13283.09,11500.42,11257.44,历史原始实测能耗,-1782.67,real,class2,class2,41,41,strong,energy_first,215.74,UP012_20240702_141702_R603,11.0,613.0
大洋江-泗港,class3,92.0,29.0,29.0,0.0,92.3,10720.52,10862.25,10596.89,历史原始实测能耗,141.73,real,class3,class3,99,99,strong,energy_first,215.54,UP012_20240702_141702_R603,11.0,614.0
泗港-曹隘,class4,137.0,31.0,31.0,0.0,134.7,22926.77,23679.39,23511.75,历史原始实测能耗,752.62,real,class4,class4,82,82,strong,energy_first,215.64,UP012_20240702_141702_R603,11.0,615.0
曹隘-柳隘,class5,119.0,29.0,29.0,0.0,106.65,13499.23,20893.22,20680.8,历史原始实测能耗,7393.99,extrapolated_adjacent,class4,class4,0,1,generated,energy_first,215.44,UP012_20240702_141702_R603,11.0,616.0
柳隘-海晏北路,class3,92.0,44.0,44.0,0.0,90.3,11441.6,14567.07,14554.41,历史原始实测能耗,3125.47,real,class3,class3,35,35,strong,energy_first,215.34,UP012_20240702_141702_R603,11.0,617.0
