站间区间,选定等级,规划用时(s),停站时间(s),历史用时(s),规划能耗(Wh),历史能耗(Wh),历史模型回放能耗(Wh),能耗对比基准,节能量(Wh),曲线来源,父等级,支持等级,真实样本数,父等级真实样本数,样本可靠性,规划阶段,MASS
布政-张家潭,class3,115.0,26.0,113.5,12906.3,15863.83,15792.69,历史原始实测能耗,2957.53,real,class3,class3,80,80,strong,real_only,215.34
张家潭-同德路,class2,148.0,26.0,146.6,17854.52,18194.7,17772.41,历史原始实测能耗,340.18,real,class2,class2,8,8,strong,real_only,215.44
同德路-石碶,class3,109.0,26.0,104.5,13376.21,15511.01,15629.16,历史原始实测能耗,2134.8,real,class3,class3,60,60,strong,real_only,216.32
石碶-雅渡,class2,80.0,26.0,81.6,10951.41,13264.36,13030.06,历史原始实测能耗,2312.95,real,class2,class2,38,38,strong,real_only,221.6
雅渡-庙堰,class4,139.0,26.0,128.8,18966.47,22674.86,21798.96,历史原始实测能耗,3708.39,real,class4,class4,10,10,strong,real_only,223.7
庙堰-钟公庙,class3,96.0,26.0,94.25,13321.54,16871.24,16700.18,历史原始实测能耗,3549.7,real,class3,class3,84,84,strong,real_only,225.8
钟公庙-鄞州区政府,class4,95.0,26.0,88.95,8547.21,14256.91,14109.53,历史原始实测能耗,5709.7,real,class4,class4,1,1,weak,real_only,227.8
鄞州区政府-钱湖南路,class3,132.0,26.0,126.9,17426.22,20010.93,19717.47,历史原始实测能耗,2584.71,real,class3,class3,62,62,strong,real_only,227.2
钱湖南路-南高教园区,class3,100.0,26.0,96.7,14629.04,16926.32,16660.13,历史原始实测能耗,2297.28,real,class3,class3,63,63,strong,real_only,227.9
南高教园区-下应路,class3,114.0,26.0,110.0,19606.28,22591.88,22130.91,历史原始实测能耗,2985.6,real,class3,class3,63,63,strong,real_only,230.2
下应路-大洋江,class3,106.0,26.0,101.3,12704.65,14525.55,14578.81,历史原始实测能耗,1820.9,real,class3,class3,65,65,strong,real_only,231.8
大洋江-泗港,class3,92.0,26.0,89.9,11460.54,12769.88,12444.73,历史原始实测能耗,1309.34,real,class3,class3,99,99,strong,real_only,230.7
泗港-曹隘,class4,137.0,26.0,133.95,24444.9,24552.63,24366.44,历史原始实测能耗,107.73,real,class4,class4,82,82,strong,real_only,231.0
曹隘-柳隘,class4,113.0,26.0,105.85,16830.56,22669.73,22582.48,历史原始实测能耗,5839.17,real,class4,class4,1,1,weak,real_only,233.8
柳隘-海晏北路,class3,92.0,26.0,88.2,12393.56,15830.39,15820.53,历史原始实测能耗,3436.83,real,class3,class3,35,35,strong,real_only,234.51
海晏北路-民安东路,class3,85.0,26.0,83.65,16122.48,16877.9,16735.22,历史原始实测能耗,755.42,real,class3,class3,41,41,strong,real_only,234.8
民安东路-会展中心,class3,79.0,26.0,77.0,12288.81,12578.23,12638.26,历史原始实测能耗,289.42,real,class3,class3,8,8,strong,real_only,226.11
会展中心-院士路,class3,115.0,26.0,115.3,15336.32,15280.36,15217.26,历史原始实测能耗,-55.96,real,class3,class3,104,104,strong,real_only,221.7
院士路-盎孟港,class3,91.0,26.0,91.05,18147.33,20224.55,20126.74,历史原始实测能耗,2077.22,real,class3,class3,99,99,strong,real_only,219.1
盎孟港-三官堂,class3,139.0,26.0,131.15,17158.66,19290.39,18917.1,历史原始实测能耗,2131.73,real,class3,class3,52,52,strong,real_only,216.54
三官堂-兴庄路,class3,104.0,26.0,98.2,10484.03,11440.95,11340.79,历史原始实测能耗,956.92,real,class3,class3,58,58,strong,real_only,215.64
兴庄路-兴海南路,class2,87.0,26.0,88.2,15816.73,14589.27,14480.76,历史原始实测能耗,-1227.46,real,class2,class2,30,30,strong,real_only,215.34
兴海南路-梅堰,class3,82.0,26.0,81.35,11310.93,13327.33,13269.64,历史原始实测能耗,2016.4,real,class3,class3,73,73,strong,real_only,215.44
梅堰-永茂路,class4,329.0,26.0,327.95,26343.06,25988.42,26025.7,历史原始实测能耗,-354.64,real,class4,class4,26,26,strong,real_only,215.24
永茂路-镇海大道,class4,156.0,26.0,142.2,15473.7,18060.62,17554.93,历史原始实测能耗,2586.92,real,class4,class4,1,1,weak,real_only,215.24
镇海大道-骆驼桥,class4,128.0,0.0,116.9,17268.28,20480.48,20151.15,历史原始实测能耗,3212.2,real,class4,class4,1,1,weak,real_only,215.24
--- 总计 ---,节能率: 11.76%,3063.0,650.0,3713.95,401169.74,454652.72,449592.04,历史原始实测能耗,53482.98,,,,,,,real_only,
