section_index,section,segment,trip_no,run_id,quality_labels,row_count,speed_source,avg_speed_kmh,cruise_avg_speed_kmh,cruise_point_count,cruise_min_speed_ratio,max_speed_kmh,p99_speed_kmh,p95_speed_kmh,xlsx_file,warning
1,布政-张家潭,2,3,07/0170102,0,2350,mps,43.76,62.8,1042,0.92,64.57,64.37,63.13,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_布政-张家潭.xlsx,
2,张家潭-同德路,2,3,07/0170102,0,3036,mps,47.91,62.75,1801,0.92,64.15,63.82,63.69,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_张家潭-同德路.xlsx,
3,同德路-石碶,2,3,07/0170102,0,2242,mps,42.74,65.14,918,0.92,65.95,65.87,65.67,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_同德路-石碶.xlsx,
4,石碶-雅渡,2,3,07/0170102,0,1638,mps,36.36,72.61,166,0.92,74.61,74.55,73.2,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_石碶-雅渡.xlsx,
5,雅渡-庙堰,2,3,07/0170102,0,2629,mps,50.94,73.66,1227,0.92,75.2,75.07,74.3,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_雅渡-庙堰.xlsx,
6,庙堰-钟公庙,2,3,07/0170102,0,1916,mps,40.86,68.14,565,0.92,70.88,70.73,68.52,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_庙堰-钟公庙.xlsx,
7,钟公庙-鄞州区政府,2,3,07/0170102,0,1807,mps,39.24,66.71,518,0.92,67.87,67.77,67.19,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钟公庙-鄞州区政府.xlsx,
8,鄞州区政府-钱湖南路,2,3,07/0170102,0,2651,mps,49.21,69.72,1299,0.92,70.65,70.46,70.32,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_鄞州区政府-钱湖南路.xlsx,
9,钱湖南路-南高教园区,2,3,07/0170102,0,2012,mps,41.83,66.67,689,0.92,69.12,68.73,67.17,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_钱湖南路-南高教园区.xlsx,
10,南高教园区-下应路,2,3,07/0170102,0,2267,mps,46.11,70.38,884,0.92,71.51,71.38,71.07,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_南高教园区-下应路.xlsx,
11,下应路-大洋江,2,3,07/0170102,0,2140,mps,40.83,61.51,901,0.92,62.25,62.19,62.11,D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality\results_下应路-大洋江.xlsx,
